,year,FIRA3,FSA3,FSH3,EFLX3,AC3,HEAT3,WASTEHEAT3,AHF3,FGR3
0,2015,67.06131,159.72682,54.75648,41.13827,0.0018402836,0.06708042,0.014514967,0.08159539,-2.1944609
1,2016,66.45978,159.1619,55.405487,40.653553,0.0019590096,0.062714934,0.013713267,0.076428205,-2.3133807
2,2017,66.37502,158.77843,55.40655,40.736908,0.0019055594,0.07022899,0.015182955,0.08541194,-2.6408606
3,2018,67.378815,159.22813,55.47129,40.12442,0.0017348164,0.069352604,0.0149030825,0.08425569,-2.6962643
4,2019,67.06488,159.24701,56.117302,39.72309,0.0018930973,0.06476188,0.014082103,0.07884398,-2.6054761
5,2020,65.75271,157.69801,54.97648,40.898033,0.0019356724,0.069850035,0.015122157,0.08497219,-2.809176
6,2021,66.30936,158.08601,54.697544,40.800713,0.0019793522,0.07228423,0.01564179,0.087926015,-2.6238854
7,2022,66.97089,158.59416,55.591465,40.036987,0.001792728,0.075067885,0.016084427,0.09115231,-2.880491
8,2023,66.9338,158.85951,55.769768,39.986195,0.0017849768,0.07338027,0.015741434,0.0891217,-2.7135727
9,2024,65.40127,157.6264,55.404854,40.52121,0.0016602158,0.06894029,0.014776544,0.08371683,-2.6415915
10,2025,67.293526,159.58405,56.233524,39.736477,0.0020299745,0.067055285,0.014616287,0.08167157,-2.6097429
11,2026,66.986336,158.55786,55.59654,39.360733,0.002036954,0.063198805,0.01385646,0.07705527,-2.351666
12,2027,66.32366,158.54422,55.489174,40.23231,0.0017884414,0.06727294,0.014521382,0.08179432,-2.461954
13,2028,66.323456,158.12776,55.441097,39.83151,0.0017260178,0.06513858,0.014058213,0.07919679,-2.454394
14,2029,66.66254,158.41957,55.805756,40.162018,0.0022086683,0.075520754,0.016418872,0.09193963,-3.034723
15,2030,65.2422,156.92917,54.684193,40.316483,0.0020148628,0.06295404,0.013792038,0.07674608,-2.2977517
16,2031,66.366615,157.62692,54.57279,40.160133,0.0019987416,0.06317834,0.013828339,0.077006675,-2.4317844
17,2032,66.443504,157.1087,54.10931,40.463104,0.0020690244,0.069917805,0.015218231,0.08513603,-2.7896304
18,2033,65.702,156.72124,55.76704,39.10043,0.0020907016,0.0764003,0.01652721,0.092927516,-2.7045887
19,2034,65.25873,156.53342,53.400017,41.408096,0.002114892,0.06585213,0.014429016,0.080281146,-2.4724045
20,2035,67.476974,158.1552,54.43093,39.76727,0.0021683315,0.063565664,0.014009715,0.07757538,-2.444442
21,2036,66.815125,158.01938,55.692806,39.010376,0.002038277,0.06784336,0.014779402,0.08262277,-2.4245274
22,2037,64.496796,155.64485,53.17724,41.39542,0.001975989,0.06296811,0.0137726,0.07674071,-2.3946443
23,2038,66.75122,157.49452,54.111263,40.22444,0.0024006567,0.06353781,0.014139608,0.07767742,-2.5167408
24,2039,67.01566,157.73436,55.648815,38.88267,0.002287019,0.06782444,0.014929638,0.082754076,-2.6962633
25,2040,65.183495,156.10132,54.275696,40.36973,0.0022377088,0.069342986,0.015203418,0.0845464,-2.5932398
26,2041,65.106064,155.51213,54.124466,40.387417,0.002695604,0.07248369,0.016094966,0.08857866,-2.9131687
27,2042,66.33571,156.77768,53.281418,40.522514,0.0023257537,0.06148682,0.013681641,0.07516846,-2.3193781
28,2043,65.47165,156.44597,53.46808,40.681297,0.0024002418,0.061674036,0.013760126,0.07543416,-2.1719182
29,2044,65.096436,155.77652,52.81559,41.340054,0.00244267,0.06291241,0.014033672,0.07694609,-2.4004467
30,2045,66.333954,156.69473,54.157253,39.58523,0.0023634825,0.061720144,0.01375357,0.07547371,-2.3127756
31,2046,64.88102,155.05482,52.949154,40.75962,0.0025033378,0.06538846,0.014565071,0.07995354,-2.4454446
32,2047,66.04081,156.68318,54.288338,39.99043,0.0023247662,0.06826409,0.015038632,0.08330272,-2.524507
33,2048,63.892467,154.39229,53.143456,41.130436,0.0024489902,0.070722036,0.015600172,0.08632221,-2.6269007
34,2049,65.41627,155.4245,54.246384,39.406204,0.0025752855,0.066205464,0.014770303,0.08097577,-2.510868
35,2050,65.444046,155.85646,53.443733,40.088966,0.0023255085,0.059014063,0.013187049,0.07220111,-2.106026
36,2051,65.42145,155.7294,53.55169,40.051212,0.0027591214,0.061335444,0.013908026,0.07524347,-2.2215507
37,2052,64.92881,155.08604,52.168716,41.0484,0.0023646546,0.057552785,0.012912594,0.07046538,-2.07798
38,2053,66.01964,155.96199,53.303913,39.89923,0.002761231,0.059299514,0.013504696,0.07280421,-2.188762
39,2054,65.37765,155.4158,52.624096,40.368877,0.0027216133,0.0561041,0.012839656,0.068943754,-1.9238006
40,2055,66.04349,155.73015,54.260975,38.849815,0.002762739,0.06014672,0.01367636,0.07382308,-2.3230822
41,2056,65.52728,155.61823,53.56364,39.914566,0.0024540676,0.06398382,0.01425043,0.07823425,-2.3414173
42,2057,66.066605,156.03204,54.472893,38.88914,0.0027230394,0.064492226,0.0145210875,0.07901331,-2.2994921
43,2058,65.00629,154.92723,53.020027,40.02057,0.0028693029,0.05697001,0.013097334,0.070067346,-2.0714476
44,2059,64.72769,155.40987,54.04335,39.82062,0.0029623248,0.057361364,0.013229758,0.07059112,-2.1142712
45,2060,64.48959,154.50354,52.482876,40.614346,0.0028305075,0.059727,0.013634498,0.07336149,-2.0333269
46,2061,65.6133,155.50726,52.606808,40.387596,0.0028943112,0.058450468,0.013408216,0.07185868,-2.065548
47,2062,65.479454,155.74408,54.090206,39.193375,0.0028852785,0.057493806,0.013215853,0.07070966,-1.9827703
48,2063,63.232872,153.12086,51.643253,41.35071,0.003213024,0.056514133,0.013209647,0.06972378,-2.0635273
49,2064,65.98069,155.3054,51.673687,40.747322,0.003078872,0.056724552,0.013178259,0.06990281,-2.052159
50,2065,65.60072,155.39294,52.87473,39.81045,0.0027659715,0.05734251,0.013111919,0.07045443,-1.8888671
51,2066,63.080864,153.0003,51.975513,41.409332,0.0033299963,0.061663292,0.014302455,0.07596575,-2.3223386
52,2067,65.11419,154.38824,51.87295,40.744022,0.0031604304,0.06238442,0.01435264,0.07673706,-2.226914
53,2068,64.212364,154.33438,53.832626,39.78175,0.0028794887,0.06573772,0.014860911,0.08059863,-2.3620048
54,2069,64.3294,154.07562,53.936157,39.225967,0.003111835,0.06357019,0.014563063,0.07813325,-2.2758918
55,2070,65.573524,155.45378,53.47981,39.465065,0.003567782,0.05599575,0.01331978,0.06931553,-1.9848738
56,2071,64.60358,154.76173,53.93019,39.402927,0.0035684386,0.056815334,0.01347971,0.07029504,-2.0373187
57,2072,63.90824,153.55824,51.498737,41.084698,0.0036194453,0.05590519,0.013336052,0.06924124,-1.8858544
58,2073,65.15559,154.77037,53.326958,39.206806,0.0033190234,0.053761654,0.012725963,0.06648762,-1.897936
