,year,FIRA4,FSA4,FSH4,EFLX4,AC4,HEAT4,WASTEHEAT4,AHF4,FGR4
0,2015,66.764046,158.3596,53.794815,41.037,0.0018076347,0.06725102,0.014529574,0.08178059,-2.202648
1,2016,65.96291,156.8845,53.794304,40.49226,0.001907974,0.06300694,0.013741163,0.0767481,-2.323255
2,2017,65.68232,155.59204,53.149296,40.51145,0.0018375962,0.07065676,0.015227921,0.08588468,-2.6540456
3,2018,66.486176,155.11362,52.558895,39.829964,0.0016428551,0.069911666,0.014959975,0.08487164,-2.713491
4,2019,65.96612,154.2141,52.538494,39.382973,0.0017770494,0.06540808,0.014142018,0.0795501,-2.6236246
5,2020,64.47211,151.7987,50.81391,40.46049,0.0018072933,0.070609435,0.01519735,0.08580679,-2.8319106
6,2021,64.82678,151.2376,49.856873,40.3028,0.001823583,0.07327149,0.015746009,0.089017496,-2.6556091
7,2022,65.28646,150.82037,50.085644,39.479687,0.0016278233,0.07611728,0.016195608,0.09231289,-2.9109387
8,2023,65.04454,150.16011,49.60405,39.37787,0.0016060178,0.074648954,0.015888233,0.09053719,-2.7529147
9,2024,63.33193,148.09068,48.64153,39.85003,0.0014859604,0.07026416,0.014937268,0.08520143,-2.6762717
10,2025,64.97225,148.98286,48.70391,39.024998,0.001792591,0.06853675,0.014771228,0.08330798,-2.6540902
11,2026,64.475136,147.0948,47.469185,38.573223,0.0017754569,0.064712055,0.01400276,0.07871482,-2.3964388
12,2027,63.619965,146.18607,46.72953,39.37649,0.0015383451,0.06890759,0.014698983,0.08360657,-2.5069656
13,2028,63.43801,144.874,46.04224,38.900845,0.0014574073,0.06690723,0.014251424,0.08115865,-2.5005727
14,2029,63.570347,144.22478,45.770817,39.144558,0.0018522623,0.07749846,0.016601712,0.09410017,-3.0939913
15,2030,61.968723,141.91907,44.07959,39.224182,0.0016923435,0.064836904,0.013976033,0.078812934,-2.346465
16,2031,62.87633,141.6211,43.290894,38.981686,0.0016622359,0.06539707,0.014071259,0.079468325,-2.4961095
17,2032,62.78003,140.21945,42.201862,39.204327,0.001690933,0.072310515,0.015470853,0.08778137,-2.8608375
18,2033,61.822678,139.00314,43.19729,37.888153,0.0016986509,0.0788384,0.016780853,0.095619254,-2.772646
19,2034,61.206875,137.90034,40.310795,39.977333,0.0016748564,0.06833388,0.014662908,0.082996786,-2.5500677
20,2035,63.164726,138.36526,40.486706,38.294304,0.0017082357,0.066291265,0.014279651,0.080570914,-2.5203576
21,2036,62.280746,137.34125,41.060135,37.56768,0.0015945612,0.070675194,0.015081603,0.08575679,-2.504249
22,2037,59.885193,134.35661,38.26052,39.70903,0.0015379036,0.065908775,0.014099433,0.08000821,-2.4786649
23,2038,61.857277,134.99083,38.288857,38.512074,0.0018304844,0.066587344,0.014408924,0.08099627,-2.6089065
24,2039,61.884377,134.31725,39.07867,37.24414,0.001693597,0.070977576,0.015205681,0.08618326,-2.7915938
25,2040,59.93687,132.02467,37.38139,38.510143,0.0017042088,0.072531775,0.01552285,0.08805463,-2.688715
26,2041,59.68292,130.59064,36.653873,38.441296,0.0020062812,0.07599869,0.016387403,0.0923861,-3.0193784
27,2042,60.61984,130.60632,34.934616,38.50356,0.0017022018,0.0650701,0.014026754,0.079096854,-2.4293756
28,2043,59.563656,129.46677,34.53004,38.628338,0.0017583682,0.065418795,0.014126977,0.07954577,-2.2691927
29,2044,59.043446,127.99511,33.375935,39.14404,0.0017673089,0.06660401,0.014369552,0.080973566,-2.5193143
30,2045,59.976078,127.81118,33.825367,37.491737,0.001675572,0.06587556,0.014174202,0.08004976,-2.4358416
31,2046,58.45729,125.50861,32.355713,38.335133,0.0017905772,0.06943771,0.01495058,0.08438829,-2.5735323
32,2047,59.281116,125.9264,32.68631,37.70415,0.0016303934,0.07252583,0.015476555,0.08800238,-2.6554828
33,2048,57.073856,123.18553,31.389975,38.61382,0.0016783297,0.07496715,0.015990421,0.090957575,-2.7761245
34,2049,58.28042,123.04041,31.537687,36.980865,0.0017905845,0.07077169,0.015216214,0.0859879,-2.6563993
35,2050,58.102688,122.509636,30.090641,37.53895,0.0015755127,0.06347262,0.013631808,0.07710443,-2.2316728
36,2051,57.85571,121.4118,29.514084,37.44196,0.0018903633,0.06604467,0.014332442,0.08037712,-2.3624249
