,year,FIRA0,FSA0,FSH0,EFLX0,AC0,HEAT0,WASTEHEAT0,AHF0,FGR0
0,2015,67.08873,159.87782,54.869736,41.149826,0.0018390263,0.06708337,0.014514807,0.08159818,-2.1958025
1,2016,66.50535,159.41292,55.59409,40.67295,0.0019570382,0.06271972,0.013713049,0.076432765,-2.3160925
2,2017,66.43857,159.13023,55.67114,40.76441,0.0019029389,0.0702369,0.015182979,0.08541988,-2.644865
3,2018,67.46155,159.68433,55.815067,40.159275,0.0017313332,0.06936252,0.014902988,0.08426551,-2.7016423
4,2019,67.16532,159.80182,56.53454,39.766575,0.0018887246,0.0647724,0.0140816,0.078853995,-2.6120636
5,2020,65.86944,158.34853,55.464333,40.951504,0.0019307,0.06986425,0.015122045,0.0849863,-2.8170433
6,2021,66.44619,158.84392,55.267635,40.860622,0.0019741682,0.072302125,0.015642278,0.0879444,-2.633154
7,2022,67.126076,159.45348,56.237976,40.1048,0.0017863146,0.07508638,0.016084291,0.09117067,-2.8911169
8,2023,67.10811,159.82222,56.496784,40.059177,0.0017777865,0.073402904,0.015741678,0.08914458,-2.7255435
9,2024,65.5907,158.67726,56.196552,40.603752,0.0016533394,0.06896235,0.01477687,0.08373922,-2.654831
10,2025,67.50674,160.75624,57.11933,39.823795,0.0020187972,0.06708072,0.014614741,0.08169546,-2.624541
11,2026,67.216354,159.824,56.549965,39.45895,0.0020270366,0.063224345,0.013855651,0.07708,-2.3678224
12,2027,66.57304,159.91586,56.523087,40.337376,0.0017775723,0.0673009,0.0145205,0.0818214,-2.479367
13,2028,66.58866,159.59367,56.54358,39.947815,0.0017157817,0.0651682,0.014058039,0.07922624,-2.4731677
14,2029,66.94638,159.99138,56.989376,40.285675,0.0021929534,0.0755547,0.016416311,0.09197101,-3.054822
15,2030,65.541275,158.58775,55.926384,40.454464,0.0020012185,0.06298472,0.013790048,0.07677477,-2.3192441
16,2031,66.68611,159.39597,55.899803,40.304455,0.0019845355,0.06321555,0.013827339,0.077042885,-2.4545283
17,2032,66.780975,158.98204,55.515156,40.61627,0.0020537032,0.06995642,0.015216834,0.08517326,-2.8137748
18,2033,66.05786,158.68347,57.246758,39.25142,0.002075131,0.0764432,0.01652652,0.09296972,-2.7299995
19,2034,65.63272,158.60484,54.947193,41.584007,0.002095777,0.06589158,0.0144255655,0.08031715,-2.4994235
20,2035,67.87551,160.35439,56.07897,39.947216,0.0021509042,0.06360991,0.014008176,0.07761809,-2.4731388
21,2036,67.23404,160.3212,57.429222,39.186,0.0020208042,0.067891344,0.01477867,0.08267002,-2.45487
22,2037,64.91925,158.00603,54.936333,41.604782,0.0019566657,0.06301698,0.013770898,0.07678788,-2.4258301
23,2038,67.20216,159.99467,55.983017,40.4334,0.002375832,0.06358488,0.014134227,0.07771911,-2.5497766
24,2039,67.48748,160.33438,57.609516,39.08297,0.002260992,0.067876555,0.014924536,0.08280109,-2.7306962
25,2040,65.66248,158.77292,56.275314,40.596638,0.0022160471,0.06939803,0.015201589,0.08459962,-2.6287053
26,2041,65.60548,158.28531,56.201084,40.61944,0.0026619325,0.07254334,0.016086912,0.08863025,-2.9501822
27,2042,66.86033,159.6821,55.45607,40.76435,0.0022984105,0.06154364,0.013676782,0.07522042,-2.357864
28,2043,66.01372,159.44942,55.717285,40.931885,0.0023670387,0.061732646,0.01375215,0.0754848,-2.2124448
29,2044,65.652885,158.87273,55.13152,41.602863,0.002409938,0.062966876,0.014025133,0.076992005,-2.4416335
30,2045,66.91711,159.90642,56.569366,39.842316,0.00233244,0.061783344,0.013747774,0.07553112,-2.3557506
31,2046,65.47154,158.34502,55.404057,41.046104,0.0024698938,0.06545309,0.014558193,0.080011286,-2.4895005
32,2047,66.660255,160.10353,56.85369,40.269375,0.0022920123,0.068330124,0.015032353,0.083362475,-2.5704007
33,2048,64.51823,157.86438,55.733643,41.430046,0.0024130486,0.070788965,0.015592257,0.08638122,-2.6730063
34,2049,66.07338,159.04202,56.960236,39.6982,0.002535188,0.06627596,0.014760588,0.08103655,-2.5593016
35,2050,66.11409,159.5624,56.20816,40.407345,0.0022891937,0.059080098,0.013178679,0.07225878,-2.1557376
36,2051,66.1154,159.56323,56.412025,40.379425,0.002717848,0.06140764,0.013897996,0.07530564,-2.2732635
37,2052,65.6334,159.00165,55.0849,41.39344,0.002324608,0.05762786,0.012903878,0.07053174,-2.1310499
38,2053,66.75757,160.03317,56.351097,40.23703,0.0027175036,0.05936783,0.013492394,0.072860226,-2.2439897
39,2054,66.125114,159.55463,55.705044,40.731735,0.002675824,0.05617196,0.012826022,0.06899798,-1.9799485
40,2055,66.815834,159.97667,57.43998,39.198494,0.0027186384,0.060220238,0.013664818,0.07388505,-2.3801904
41,2056,66.31324,159.97028,56.80601,40.293583,0.0024019063,0.06406068,0.014234842,0.07829552,-2.4006016
42,2057,66.87955,160.51271,57.83186,39.25497,0.0026754832,0.06458368,0.0145111345,0.07909481,-2.3602362
43,2058,65.833176,159.49042,56.421104,40.413685,0.0028126806,0.057045158,0.013078737,0.070123896,-2.1338394
44,2059,65.573204,160.07755,57.52026,40.22501,0.0029031807,0.0574363,0.013209667,0.070645966,-2.1778758
45,2060,65.347725,159.26514,56.012337,41.04907,0.0027756947,0.0598145,0.013619373,0.073433876,-2.0985422
46,2061,66.50172,160.41844,56.265846,40.813572,0.0028351003,0.058533028,0.013389634,0.07192266,-2.1325498
47,2062,66.390205,160.74693,57.814495,39.62329,0.002820167,0.057572875,0.013192941,0.070765816,-2.0508833
48,2063,64.12882,158.12975,55.343594,41.826927,0.0031387385,0.056595415,0.013181748,0.06977716,-2.1329875
49,2064,66.91905,160.5196,55.54166,41.221462,0.0030139503,0.056817558,0.01315829,0.069975846,-2.1236076
50,2065,66.56673,160.71086,56.841637,40.263332,0.002702544,0.057432637,0.013092241,0.07052488,-1.9621131
51,2066,64.03984,158.34761,55.93858,41.902245,0.003253142,0.061757464,0.01427578,0.07603324,-2.3960004
52,2067,66.10637,159.90067,55.973537,41.23366,0.003088824,0.06248992,0.014331292,0.07682121,-2.3023877
53,2068,65.21923,159.91367,57.985573,40.272877,0.0028136834,0.06584293,0.014842825,0.08068575,-2.4393132
54,2069,65.354355,159.75421,58.145576,39.741425,0.0030398301,0.06367233,0.014540822,0.07821315,-2.3536677
55,2070,66.64457,161.34143,57.86851,39.967346,0.0034838833,0.056084003,0.013287605,0.06937161,-2.065764
56,2071,65.675446,160.68602,58.326153,39.93469,0.0034818284,0.0569106,0.013447433,0.07035803,-2.120289
57,2072,64.9991,159.59471,55.96236,41.643253,0.0035240864,0.056004528,0.013299112,0.06930364,-1.9696323
58,2073,66.271965,160.93285,57.909927,39.748177,0.0032236306,0.05386433,0.01268974,0.06655407,-1.9830219
59,2074,66.29518,160.83734,57.837288,39.62061,0.0031771462,0.051494736,0.012187095,0.06368183,-1.9143038
60,2075,64.69476,159.17642,56.094303,41.699814,0.003060348,0.059598267,0.013726341,0.073324606,-2.242463
61,2076,66.40711,161.55737,58.545105,39.929565,0.0036249491,0.05978204,0.014108407,0.07389045,-2.1888256
62,2077,63.435684,158.78542,56.277184,42.021713,0.0038060127,0.053969704,0.013047881,0.067017585,-1.8977255
63,2078,65.904076,161.07294,57.157806,40.82094,0.0037584445,0.051960986,0.012621882,0.06458287,-1.7945168
64,2079,64.391594,159.62236,56.266834,41.862553,0.0032629538,0.054478403,0.012828716,0.06730712,-1.8611296
65,2080,65.041374,160.9958,57.655674,41.133293,0.0036837836,0.0516008,0.012503189,0.06410399,-1.8005034
66,2081,65.12575,159.73454,56.600925,40.80316,0.0038070292,0.0502226,0.0123026185,0.06252522,-1.7592174
67,2082,66.089455,161.73755,57.793327,40.791462,0.0041154246,0.052061655,0.012858158,0.064919814,-1.8604622
68,2083,65.39297,160.80927,57.619312,40.923923,0.0038883877,0.057589117,0.013817878,0.071407,-2.003625
69,2084,64.85783,160.86876,58.389404,40.64815,0.003839037,0.056100897,0.013492959,0.069593854,-1.9255096
70,2085,65.03794,161.07616,57.75656,40.8593,0.003798509,0.047408324,0.011726197,0.05913452,-1.5977325
71,2086,66.51224,161.92818,59.30589,38.83771,0.004045494,0.05026228,0.0124473525,0.06270963,-1.6564511
72,2087,64.34869,159.99455,57.0692,41.203213,0.0041771033,0.04501069,0.011476851,0.05648754,-1.5975543
