,year,FIRA5,FSA5,FSH5,EFLX5,AC5,HEAT5,WASTEHEAT5,AHF5,FGR5
0,2015,67.050545,159.56053,54.59789,41.169003,0.0018294109,0.06716057,0.014524497,0.081685066,-2.2222815
1,2016,66.44351,158.88231,55.14742,40.695885,0.001942504,0.06284938,0.013730281,0.07657966,-2.3611326
2,2017,66.35285,158.38252,55.04736,40.790157,0.0018832126,0.07043336,0.015210475,0.085643835,-2.7087574
3,2018,67.35164,158.71844,55.009186,40.192883,0.0017039812,0.06961139,0.014936409,0.0845478,-2.7850013
4,2019,67.03057,158.615,55.54425,39.80653,0.0018548698,0.06505892,0.014118663,0.07917758,-2.7135534
5,2020,65.71002,156.95209,54.297848,41.00082,0.0018938642,0.07020786,0.015168744,0.0853766,-2.936936
6,2021,66.261665,157.21788,53.912086,40.916428,0.0019322316,0.072754644,0.015707677,0.08846232,-2.7744153
7,2022,66.91652,157.58824,54.68919,40.158226,0.0017385641,0.075570785,0.016152587,0.09172337,-3.0508506
8,2023,66.87403,157.7332,54.762527,40.120567,0.0017231482,0.07397544,0.015823498,0.089798935,-2.9065597
9,2024,65.33209,156.37068,54.28457,40.667427,0.0016008199,0.06955864,0.014864748,0.08442339,-2.853305
10,2025,67.221054,158.19263,54.999355,39.888233,0.0019365669,0.06775911,0.014701348,0.08246046,-2.8465946
11,2026,66.903145,157.04152,54.241817,39.537685,0.0019482406,0.06391732,0.013947112,0.07786443,-2.6074865
12,2027,66.234955,156.8965,54.0243,40.41442,0.0016952847,0.068059854,0.014623096,0.08268295,-2.7382483
13,2028,66.22727,156.34602,53.863544,40.022205,0.0016338446,0.06598556,0.014172522,0.080158085,-2.753028
14,2029,66.55354,156.48203,54.082706,40.38144,0.0020723576,0.07649015,0.016531331,0.09302148,-3.3595886
15,2030,65.125824,154.89394,52.867508,40.550774,0.0018952672,0.06385117,0.013900019,0.07775119,-2.6348102
16,2031,66.23903,155.41797,52.609016,40.408577,0.0018755562,0.0642664,0.013972407,0.07823881,-2.797995
17,2032,66.30721,154.76839,52.02657,40.72914,0.0019351282,0.071072705,0.015369193,0.0864419,-3.1775923
18,2033,65.56541,154.24365,53.57679,39.357407,0.0019540307,0.07760122,0.016685802,0.09428702,-3.1127234
19,2034,65.10294,153.90398,51.064827,41.698116,0.0019460631,0.06708734,0.014575329,0.08166267,-2.903809
20,2035,67.31357,155.34808,51.928402,40.085773,0.0020065675,0.0649293,0.01418571,0.07911501,-2.9061072
21,2036,66.6506,155.0699,53.097855,39.302124,0.0018825955,0.06924134,0.014966346,0.084207684,-2.9063687
22,2037,64.30583,152.56161,50.4377,41.741333,0.0018062358,0.06443337,0.0139643885,0.078397766,-2.8940692
23,2038,66.550415,154.2156,51.193798,40.591763,0.0021765088,0.06501803,0.014301711,0.07931974,-3.0473084
24,2039,66.817406,154.28084,52.622868,39.205673,0.0020507267,0.06938014,0.015099545,0.08447969,-3.2511196
25,2040,64.96282,152.51637,51.110218,40.742107,0.0020419226,0.07100014,0.015418093,0.08641823,-3.1661923
26,2041,64.87842,151.78638,50.82966,40.781128,0.0023980497,0.07428479,0.016277809,0.0905626,-3.5149684
