,year,FIRA6,FSA6,FSH6,EFLX6,AC6,HEAT6,WASTEHEAT6,AHF6,FGR6
48,2063,51.504974,94.08617,9.658197,37.306194,0.0014637564,0.066969424,0.014259577,0.081229,-3.3836706
49,2064,53.758026,93.99021,8.036246,36.664894,0.0013410175,0.068451084,0.0144882435,0.08293933,-3.4704857
50,2065,53.02872,93.004715,8.310389,35.89602,0.0012141576,0.06875104,0.0144699365,0.08322097,-3.2636685
51,2066,50.614002,90.35812,7.6313214,36.98209,0.0014830085,0.073321074,0.015537293,0.088858366,-3.7781963
52,2067,52.20287,89.83314,5.965664,36.475166,0.001314704,0.075291716,0.015836766,0.09112848,-3.7391882
53,2068,51.04662,88.82077,7.0977526,35.596493,0.0011940884,0.07787859,0.016284833,0.09416342,-3.8335557
54,2069,50.926693,87.524994,6.683843,34.768665,0.0013035523,0.07565349,0.015905324,0.091558814,-3.773967
55,2070,51.697056,86.81801,4.79484,34.891605,0.0014292387,0.068176866,0.014483524,0.08266039,-3.5517867
56,2071,50.543365,85.46138,4.7789845,34.805847,0.0014932862,0.069151185,0.014714931,0.08386612,-3.6037297
57,2072,49.67996,83.47739,2.0736246,36.18409,0.0012666535,0.06875747,0.014503111,0.08326058,-3.4840539
58,2073,50.62189,83.17015,2.6158016,34.44159,0.0011378049,0.0672234,0.014119355,0.08134276,-3.5398533
59,2074,50.389824,82.08013,2.0366044,34.046013,0.0011305131,0.06444565,0.0135599645,0.07800562,-3.4424672
60,2075,48.731976,80.13028,0.45009178,35.811012,0.0011697293,0.07319107,0.015324051,0.08851512,-3.8403668
61,2076,49.95367,80.6156,1.0796475,34.43922,0.0012985829,0.07369535,0.015507388,0.08920273,-3.797037
62,2077,47.29446,78.37721,-0.23946966,35.816658,0.0013812451,0.06754891,0.01432405,0.081872955,-3.5060499
63,2078,49.06449,78.59271,-0.9827466,34.885796,0.0013510729,0.06620803,0.014040237,0.08024827,-3.427018
64,2079,47.698227,77.35705,-1.5513189,35.687904,0.0011840696,0.06850164,0.014399283,0.08290092,-3.4955783
65,2080,47.94068,77.527374,-1.0832982,35.03011,0.0013433526,0.065223396,0.013838505,0.0790619,-3.3970184
66,2081,48.06205,76.08369,-1.9849331,34.3508,0.0013253138,0.06376738,0.013537554,0.07730494,-3.4007776
67,2082,48.576077,76.334465,-2.3469868,34.584656,0.0013482578,0.065320715,0.013863632,0.079184346,-3.509413
68,2083,47.846474,75.48114,-2.232135,34.555946,0.0014071527,0.072062716,0.015242228,0.08730494,-3.6600401
69,2084,47.186123,75.13147,-1.8240998,34.313095,0.0013970066,0.06963747,0.014752904,0.08439037,-3.5376828
70,2085,47.15908,74.62708,-2.8581238,34.430027,0.0012620674,0.060610563,0.012863542,0.0734741,-3.2156026
71,2086,48.36043,74.4693,-2.3260715,32.683006,0.0014872829,0.06366128,0.013611972,0.07727325,-3.2971501
72,2087,46.429234,73.382996,-3.4621115,34.52114,0.001405025,0.05761299,0.012352548,0.069965534,-3.2008233
73,2088,47.202415,73.36183,-3.0456161,33.60238,0.0015082865,0.0629888,0.013493287,0.07648209,-3.4170084
74,2089,46.80243,73.38803,-3.3475738,34.025654,0.0015547742,0.06359548,0.013635942,0.07723142,-3.1572337
75,2090,45.798244,72.31499,-4.0740194,34.81096,0.0015229109,0.059223477,0.012740583,0.07196406,-3.2997198
76,2091,46.55359,72.86479,-3.3869195,33.944553,0.0015286949,0.06208611,0.013325161,0.07541127,-3.28391
77,2092,45.468014,72.17461,-4.7488065,35.45981,0.0017271471,0.058314614,0.012677534,0.07099215,-3.0952377
78,2093,46.688286,73.107864,-4.7562566,35.377388,0.0015723425,0.060076766,0.012942401,0.07301917,-3.2807872
79,2094,45.912067,72.57175,-4.136779,34.700924,0.001707708,0.05853129,0.012716786,0.07124808,-2.9849322
80,2095,46.15835,72.74147,-4.152288,34.828884,0.0019464724,0.059063353,0.012960063,0.072023414,-3.148796
81,2096,45.28708,72.192085,-4.385378,35.512093,0.0016707291,0.059117276,0.012811693,0.07192897,-3.2810807
82,2097,47.355915,73.074524,-3.8078146,33.59766,0.0016928581,0.059095386,0.012817769,0.07191315,-3.1228802
83,2098,45.245308,72.32477,-3.3182743,34.357563,0.0017151858,0.05804635,0.012623263,0.070669614,-3.0355182
84,2099,46.286263,72.989494,-3.6918967,34.28079,0.0019633428,0.05781695,0.012713948,0.0705309,-2.9960685
