,lat,AC,HEAT,HAC,year
102,6.125654220581055,0.0,0.0,0.0,2015
103,7.068062782287598,0.0,0.0,0.0,2015
104,8.01047134399414,0.0,0.0,0.0,2015
105,8.952879905700684,1.0919153e-05,0.0,1.0919153e-05,2015
106,9.89528751373291,0.0,0.0,0.0,2015
107,10.837696075439453,2.6570058e-05,1.6419285e-08,2.6586478e-05,2015
108,11.780104637145996,1.335671e-08,0.0,1.335671e-08,2015
109,12.722513198852539,6.0812406e-05,0.0,6.0812406e-05,2015
110,13.664921760559082,8.108554e-06,0.0,8.108554e-06,2015
111,14.607329368591309,3.0654268e-05,2.475061e-07,3.0901774e-05,2015
112,15.549737930297852,2.1598125e-07,7.0841196e-07,9.2439325e-07,2015
113,16.49214744567871,0.0,1.0645023e-09,1.0645023e-09,2015
114,17.434555053710938,0.0,4.663503e-07,4.663503e-07,2015
115,18.376962661743164,0.0,3.6874943e-07,3.6874943e-07,2015
116,19.319372177124023,0.0003067857,0.00010337922,0.00041016494,2015
117,20.26177978515625,2.3781072e-06,4.1363342e-05,4.374145e-05,2015
118,21.20418930053711,1.1466655e-06,0.00017183938,0.00017298605,2015
119,22.146596908569336,0.010548239,0.00055753125,0.01110577,2015
120,23.089004516601562,0.0025185372,0.0021049397,0.0046234764,2015
121,24.031414031982422,0.0019435636,0.0026449538,0.0045885174,2015
122,24.97382164001465,0.0028320183,0.0061315517,0.008963569,2015
123,25.916231155395508,0.01923902,0.009259785,0.028498802,2015
124,26.858638763427734,0.0046621226,0.014646264,0.019308385,2015
125,27.80104637145996,0.009843618,0.023818603,0.033662215,2015
126,28.74345588684082,0.0054021385,0.02495183,0.030353969,2015
127,29.685863494873047,0.013678803,0.039974064,0.053652864,2015
128,30.628273010253906,0.0070795226,0.05407496,0.061154477,2015
129,31.570680618286133,0.0019383843,0.043009307,0.0449477,2015
130,32.51308822631836,0.009570174,0.053183272,0.06275345,2015
131,33.45549774169922,0.012198153,0.07763671,0.08983486,2015
132,34.39790725708008,0.009426801,0.13666832,0.14609511,2015
133,35.34031295776367,0.0044555827,0.14916624,0.15362184,2015
134,36.28272247314453,0.0029116205,0.1267531,0.12966472,2015
135,37.22513198852539,0.002567561,0.10402935,0.10659691,2015
136,38.167537689208984,0.0019385628,0.10272308,0.104661636,2015
137,39.109947204589844,0.0032261962,0.112519294,0.115745485,2015
138,40.0523567199707,0.0003369108,0.14147806,0.14181499,2015
139,40.99476623535156,0.00046152607,0.15327212,0.15373364,2015
140,41.937171936035156,0.00023856759,0.18591772,0.18615629,2015
141,42.879581451416016,5.1739567e-05,0.11398219,0.11403394,2015
142,43.821990966796875,8.1078724e-05,0.1079668,0.10804787,2015
143,44.76439666748047,0.00013970776,0.09164107,0.09178077,2015
144,45.70680618286133,0.00019207128,0.1525799,0.15277196,2015
145,46.64921569824219,0.00023012499,0.08820861,0.08843873,2015
146,47.59162139892578,0.00023006652,0.14273559,0.14296566,2015
147,48.53403091430664,0.00012892915,0.15349458,0.1536235,2015
148,49.4764404296875,4.6775724e-05,0.14851424,0.14856103,2015
149,50.41884994506836,1.4345447e-05,0.17724428,0.17725861,2015
150,51.36125564575195,5.9611602e-06,0.2602561,0.26026207,2015
151,52.30366516113281,2.8307495e-06,0.20303231,0.20303515,2015
152,53.24607467651367,4.4493274e-07,0.18171692,0.18171737,2015
153,54.188480377197266,1.9034385e-07,0.13994147,0.13994168,2015
154,55.130889892578125,8.7511273e-07,0.16678454,0.1667854,2015
155,56.073299407958984,1.6747413e-07,0.23549277,0.23549293,2015
156,57.01570510864258,2.2910685e-06,0.12045425,0.12045654,2015
157,57.95811462402344,0.0,0.11164447,0.11164447,2015
158,58.9005241394043,4.204372e-09,0.1373133,0.1373133,2015
159,59.842933654785156,0.0,0.29862803,0.29862803,2015
160,60.78533935546875,0.0,0.09798222,0.09798222,2015
161,61.72774887084961,0.0,0.089998655,0.089998655,2015
162,62.67015838623047,0.0,0.08493511,0.08493511,2015
163,63.61256408691406,0.0,0.07434475,0.07434475,2015
164,64.55497741699219,0.0,0.09885687,0.09885687,2015
165,65.49738311767578,0.0,0.09542974,0.09542974,2015
166,66.43978881835938,0.0,0.060801998,0.060801998,2015
167,67.3822021484375,0.0,0.07105879,0.07105879,2015
168,68.3246078491211,0.0,0.024475833,0.024475833,2015
169,69.26701354980469,0.0,0.13772757,0.13772757,2015
170,70.20942687988281,0.0,0.06054993,0.06054993,2015
171,71.1518325805664,,,,2015
172,72.09423828125,,,,2015
173,73.03665161132812,,,,2015
174,73.97905731201172,,,,2015
175,74.92146301269531,,,,2015
176,75.86387634277344,,,,2015
177,76.80628204345703,,,,2015
178,77.74868774414062,,,,2015
179,78.69110107421875,,,,2015
180,79.63350677490234,,,,2015
181,80.57591247558594,,,,2015
182,81.51832580566406,,,,2015
183,82.46073150634766,,,,2015
184,83.40314483642578,,,,2015
185,84.34555053710938,,,,2015
186,85.28795623779297,,,,2015
187,86.2303695678711,,,,2015
188,87.17277526855469,,,,2015
189,88.11518096923828,,,,2015
190,89.0575942993164,,,,2015
191,90.0,,,,2015
192,-90.0,,,,2016
193,-89.0575942993164,,,,2016
194,-88.11518096923828,,,,2016
195,-87.17277526855469,,,,2016
196,-86.2303695678711,,,,2016
197,-85.28795623779297,,,,2016
198,-84.34555053710938,,,,2016
199,-83.40314483642578,,,,2016
200,-82.46073150634766,,,,2016
201,-81.51832580566406,,,,2016
202,-80.57591247558594,,,,2016
203,-79.63350677490234,,,,2016
204,-78.69110107421875,,,,2016
205,-77.74868774414062,,,,2016
206,-76.80628204345703,,,,2016
207,-75.86387634277344,,,,2016
208,-74.92146301269531,,,,2016
209,-73.97905731201172,,,,2016
210,-73.03665161132812,,,,2016
211,-72.09423828125,,,,2016
212,-71.1518325805664,,,,2016
213,-70.20942687988281,,,,2016
214,-69.26701354980469,,,,2016
215,-68.3246078491211,,,,2016
216,-67.3822021484375,,,,2016
217,-66.43978881835938,,,,2016
218,-65.49738311767578,,,,2016
219,-64.55497741699219,,,,2016
220,-63.61256408691406,,,,2016
221,-62.67015838623047,,,,2016
222,-61.72774887084961,,,,2016
223,-60.78533935546875,,,,2016
224,-59.842933654785156,,,,2016
225,-58.9005241394043,,,,2016
226,-57.95811462402344,,,,2016
227,-57.01570510864258,,,,2016
228,-56.073299407958984,,,,2016
229,-55.130889892578125,0.0,0.009714935,0.009714935,2016
230,-54.188480377197266,0.0,0.0095261065,0.0095261065,2016
231,-53.24607467651367,0.0,0.020309562,0.020309562,2016
232,-52.30366516113281,,,,2016
233,-51.36125564575195,0.0,0.01200024,0.01200024,2016
234,-50.41884994506836,,,,2016
235,-49.4764404296875,0.0,0.0004960459,0.0004960459,2016
236,-48.53403091430664,,,,2016
237,-47.59162139892578,,,,2016
238,-46.64921569824219,0.0,0.0,0.0,2016
239,-45.70680618286133,0.0,0.0021100277,0.0021100277,2016
240,-44.76439666748047,0.0,0.00022971239,0.00022971239,2016
241,-43.821990966796875,0.0,2.993302e-05,2.993302e-05,2016
242,-42.879581451416016,0.0,0.03890881,0.03890881,2016
243,-41.937171936035156,0.0,0.0006057195,0.0006057195,2016
244,-40.99476623535156,0.0,0.01793263,0.01793263,2016
245,-40.0523567199707,0.0,0.00016717929,0.00016717929,2016
246,-39.109947204589844,0.0,0.00032880355,0.00032880355,2016
247,-38.167537689208984,0.0002588883,0.1143631,0.11462199,2016
248,-37.22513198852539,3.32501e-05,0.0072192345,0.0072524846,2016
249,-36.28272247314453,6.436638e-07,0.001928873,0.0019295168,2016
250,-35.34031295776367,8.2893974e-05,0.015037592,0.015120487,2016
251,-34.39790725708008,7.7429475e-05,0.023619719,0.023697149,2016
252,-33.45549774169922,3.551993e-06,0.021901814,0.021905366,2016
253,-32.51308822631836,2.407155e-05,0.0062485808,0.006272652,2016
254,-31.570680618286133,0.0001505827,0.005547619,0.005698202,2016
255,-30.628273010253906,2.6437435e-06,0.0017273026,0.0017299461,2016
256,-29.685863494873047,8.446389e-06,0.0006626016,0.00067104795,2016
