time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF
2015,0.7666338086128235,0.837743878364563,0.6958826780319214,1.267232060432434,1.3771073818206787,1.1696758270263672
2016,0.7576788663864136,0.8392600417137146,0.6701655387878418,1.2410639524459839,1.3742752075195312,1.137376070022583
2017,0.7559612989425659,0.8318949937820435,0.6959343552589417,1.24704909324646,1.339043140411377,1.173561453819275
2018,0.7665144205093384,0.8334799408912659,0.706403911113739,1.2614411115646362,1.3447437286376953,1.220098853111267
2019,0.7643623352050781,0.8326720595359802,0.6901397109031677,1.2546963691711426,1.3515450954437256,1.156426191329956
2020,0.745047390460968,0.8138387799263,0.6929926872253418,1.226741909980774,1.30629563331604,1.1924883127212524
2021,0.745110034942627,0.8188351988792419,0.6904139518737793,1.1998941898345947,1.273798942565918,1.1580342054367065
2022,0.7614272236824036,0.834763765335083,0.7144808173179626,1.238929271697998,1.3215556144714355,1.2268396615982056
2023,0.7634997963905334,0.8374009728431702,0.6890273094177246,1.2572311162948608,1.3599337339401245,1.2025675773620605
2024,0.7551563382148743,0.8340427279472351,0.6742587089538574,1.2560105323791504,1.3475924730300903,1.1241745948791504
2025,0.7635003924369812,0.849715530872345,0.689622700214386,1.2532960176467896,1.373643398284912,1.1707051992416382
2026,0.7614402174949646,0.8378210663795471,0.6780436635017395,1.246440052986145,1.3567193746566772,1.1520792245864868
2027,0.7578421235084534,0.8355706930160522,0.6848401427268982,1.2348989248275757,1.3395336866378784,1.1576762199401855
2028,0.7563796639442444,0.8339307904243469,0.6831498146057129,1.2310230731964111,1.354162335395813,1.1555521488189697
2029,0.7644470930099487,0.8275581002235413,0.6750438809394836,1.2712323665618896,1.3280800580978394,1.129457950592041
2030,0.7408777475357056,0.8301411867141724,0.6826353669166565,1.1994436979293823,1.3537302017211914,1.1779981851577759
2031,0.7544927597045898,0.8115450143814087,0.7061291933059692,1.2391982078552246,1.2974541187286377,1.1358206272125244
2032,0.7562255263328552,0.8229567408561707,0.6933976411819458,1.217136263847351,1.3152313232421875,1.22151517868042
2033,0.7593374848365784,0.8306275010108948,0.6891263723373413,1.2664079666137695,1.352157473564148,1.1655079126358032
2034,0.7407300472259521,0.8160730004310608,0.6927782893180847,1.2075016498565674,1.3052058219909668,1.1540640592575073
2035,0.763442873954773,0.8296603560447693,0.6998036503791809,1.2472481727600098,1.2944059371948242,1.1722851991653442
2036,0.767512857913971,0.8613368272781372,0.6754795908927917,1.261743426322937,1.415964126586914,1.13491690158844
2037,0.7361031174659729,0.8106496930122375,0.6904215216636658,1.203961968421936,1.3050001859664917,1.1574324369430542
2038,0.7576937675476074,0.8210997581481934,0.7087390422821045,1.2381409406661987,1.3035832643508911,1.2006497383117676
2039,0.773216724395752,0.8471809029579163,0.7028168439865112,1.278815746307373,1.380298137664795,1.2182739973068237
