time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF
2040,0.7496936917304993,0.8140004873275757,0.7034361362457275,1.2455739974975586,1.3486428260803223,1.2086654901504517
2041,0.7488791942596436,0.8068243861198425,0.682167649269104,1.250148057937622,1.306066632270813,1.1240781545639038
2042,0.7500242590904236,0.8276751637458801,0.6832888722419739,1.2245548963546753,1.3273504972457886,1.1294633150100708
2043,0.741420328617096,0.8442296385765076,0.6534188985824585,1.1988551616668701,1.3825955390930176,1.100020170211792
2044,0.733860433101654,0.8196036219596863,0.6681581735610962,1.203169822692871,1.3232125043869019,1.0941805839538574
2045,0.7564003467559814,0.836215078830719,0.6909471154212952,1.2482573986053467,1.3680963516235352,1.2116793394088745
2046,0.7381798028945923,0.7838388085365295,0.6700712442398071,1.2225544452667236,1.2555588483810425,1.1094144582748413
2047,0.7521510124206543,0.8166008591651917,0.6530391573905945,1.2534304857254028,1.3421610593795776,1.1120352745056152
2048,0.7270993590354919,0.7983309030532837,0.6621283292770386,1.2036510705947876,1.3127743005752563,1.107322335243225
2049,0.7434960603713989,0.8191969990730286,0.6649603247642517,1.2371305227279663,1.3642597198486328,1.110478401184082
2050,0.7443759441375732,0.8188704252243042,0.6739210486412048,1.2322938442230225,1.373216986656189,1.0896245241165161
2051,0.7400047779083252,0.8290261030197144,0.6701018214225769,1.20361328125,1.3883076906204224,1.121405005455017
2052,0.7326399087905884,0.81098872423172,0.6580845713615417,1.1997475624084473,1.332104206085205,1.0346566438674927
2053,0.7415431141853333,0.8275811076164246,0.6561740040779114,1.204239010810852,1.3692359924316406,1.0968505144119263
2054,0.7388067245483398,0.8313608765602112,0.6719812750816345,1.2137904167175293,1.3966127634048462,1.0964821577072144
2055,0.7569239139556885,0.8396608233451843,0.6978906989097595,1.2551262378692627,1.415270447731018,1.1978071928024292
2056,0.7480254769325256,0.8370344638824463,0.692477822303772,1.236152172088623,1.3595815896987915,1.1874825954437256
2057,0.7563169598579407,0.8327147960662842,0.6638712882995605,1.2663754224777222,1.3930937051773071,1.11024808883667
2058,0.7390522956848145,0.8183698058128357,0.659188449382782,1.2118984460830688,1.3360189199447632,1.1173135042190552
2059,0.7434458136558533,0.8328098654747009,0.6554213166236877,1.2488298416137695,1.4170445203781128,1.1099960803985596
2060,0.7294562458992004,0.8221145868301392,0.6451189517974854,1.210584282875061,1.3715118169784546,1.0573209524154663
2061,0.7403733730316162,0.8291814923286438,0.6690159440040588,1.2081284523010254,1.3601351976394653,1.1199415922164917
2062,0.7496338486671448,0.8400934934616089,0.6627334356307983,1.242087721824646,1.4076769351959229,1.1615755558013916
2063,0.7223172187805176,0.8003706932067871,0.6357700824737549,1.2112892866134644,1.3178106546401978,1.0194308757781982
2064,0.7320778965950012,0.8179944753646851,0.6735734939575195,1.172871708869934,1.3215086460113525,1.0937541723251343
2065,0.7431234121322632,0.8391150832176208,0.641928493976593,1.2068121433258057,1.4071292877197266,1.0613034963607788
2066,0.7143588066101074,0.8065189123153687,0.6449282169342041,1.1901732683181763,1.3355858325958252,1.0954114198684692
2067,0.7355563640594482,0.810471773147583,0.6773220300674438,1.2267394065856934,1.3365516662597656,1.141435980796814
2068,0.7384945154190063,0.8282092213630676,0.6599946022033691,1.2308903932571411,1.4091346263885498,1.1277825832366943
2069,0.7501000761985779,0.8372533917427063,0.6788274049758911,1.2607630491256714,1.4122599363327026,1.1509130001068115
2070,0.7458236813545227,0.8418357968330383,0.6523227095603943,1.2443103790283203,1.4160821437835693,1.0933490991592407
2071,0.7446430921554565,0.8462660908699036,0.6388203501701355,1.2468010187149048,1.4468817710876465,1.0744820833206177
2072,0.7236526012420654,0.8289337158203125,0.644355297088623,1.201265573501587,1.4113670587539673,1.0670405626296997
2073,0.7412391304969788,0.8558520674705505,0.6532509922981262,1.2249733209609985,1.437018871307373,1.1099029779434204
2074,0.7433738708496094,0.8311875462532043,0.6467443108558655,1.242330551147461,1.405453085899353,1.0844484567642212
2075,0.7178251147270203,0.8071279525756836,0.6491647958755493,1.1845076084136963,1.3461719751358032,1.071591854095459
2076,0.751250147819519,0.8460158109664917,0.639593780040741,1.2732568979263306,1.4407362937927246,1.1082578897476196
2077,0.7102020382881165,0.8124781250953674,0.6319639682769775,1.1941733360290527,1.3866511583328247,1.0227432250976562
2078,0.7274811863899231,0.8375009894371033,0.6062009334564209,1.2130126953125,1.4582737684249878,0.9958832859992981
2079,0.7064711451530457,0.8016756176948547,0.631535530090332,1.1641206741333008,1.3671239614486694,1.0171258449554443
2080,0.7311840057373047,0.8468632698059082,0.6456371545791626,1.2141486406326294,1.4474042654037476,1.0838044881820679
2081,0.7292509078979492,0.8141300678253174,0.6412948369979858,1.2221328020095825,1.3696390390396118,1.0620404481887817
2082,0.7317700386047363,0.838699221611023,0.6306082606315613,1.2056320905685425,1.4130946397781372,1.0170390605926514
2083,0.7324649691581726,0.8231368064880371,0.6514900326728821,1.2206672430038452,1.4023106098175049,1.0590555667877197
2084,0.7284266352653503,0.8479601144790649,0.6113126277923584,1.2209291458129883,1.4828039407730103,1.0249431133270264
2085,0.7258480191230774,0.8346440196037292,0.6326477527618408,1.2151672840118408,1.413723111152649,1.007041335105896
2086,0.7341784834861755,0.8365845680236816,0.6133528351783752,1.2160335779190063,1.442004919052124,0.9775460362434387
2087,0.7159958481788635,0.8106100559234619,0.6545063853263855,1.205118179321289,1.41989266872406,1.0818045139312744
2088,0.7262767553329468,0.8152421116828918,0.6252360939979553,1.2235724925994873,1.4143377542495728,1.0023218393325806
2089,0.729093074798584,0.838051974773407,0.6198728084564209,1.2119660377502441,1.4573498964309692,0.9890826344490051
2090,0.7063250541687012,0.8137942552566528,0.630950391292572,1.1781076192855835,1.4208133220672607,1.0579842329025269
2091,0.7234662771224976,0.823621392250061,0.6087589859962463,1.2267688512802124,1.444125771522522,1.003851294517517
2092,0.7055311799049377,0.8102352023124695,0.6211703419685364,1.1886588335037231,1.4055737257003784,0.9858844876289368
2093,0.7151361703872681,0.820315420627594,0.6259715557098389,1.1927433013916016,1.4507389068603516,1.0336354970932007
2094,0.7150922417640686,0.8261326551437378,0.6015099883079529,1.2108433246612549,1.4448857307434082,0.9577875137329102
2095,0.7108239531517029,0.8439905047416687,0.6017402410507202,1.1788700819015503,1.4725456237792969,0.9698482155799866
2096,0.6973732709884644,0.8098324537277222,0.6306554675102234,1.172289252281189,1.430552363395691,1.0579160451889038
2097,0.7323266267776489,0.8254350423812866,0.6145898699760437,1.239033579826355,1.4305541515350342,0.9802876710891724
2098,0.7042058706283569,0.821291446685791,0.6154517531394958,1.19480299949646,1.460472583770752,1.0208439826965332
2099,0.7202211618423462,0.8329678773880005,0.6154031753540039,1.2245887517929077,1.494992733001709,0.9942507147789001
