time,Arr_CUHI_2_day,Arr_CUHI_2_night
2015,0.5488050580024719,0.8976297378540039
2016,0.5325621366500854,0.8838151693344116
2017,0.5207988619804382,0.8813462853431702
2018,0.5131850242614746,0.8921189904212952
2019,0.5066623687744141,0.8827669620513916
2020,0.48441430926322937,0.8571103811264038
2021,0.4711952805519104,0.8581698536872864
2022,0.4666799306869507,0.8807682991027832
2023,0.4643847346305847,0.8722461462020874
2024,0.451635479927063,0.8553385734558105
2025,0.4395301342010498,0.8640252947807312
2026,0.4247932434082031,0.8633890151977539
2027,0.416255921125412,0.8524543642997742
2028,0.4013338088989258,0.8506527543067932
2029,0.4009544551372528,0.8477106690406799
2030,0.379293292760849,0.8144307136535645
2031,0.36739420890808105,0.8306375741958618
2032,0.35093775391578674,0.8358391523361206
2033,0.356068879365921,0.8324451446533203
2034,0.3309662938117981,0.8036490678787231
2035,0.3244006633758545,0.831451416015625
2036,0.3225557208061218,0.8261174559593201
2037,0.29768723249435425,0.7816160917282104
2038,0.28501635789871216,0.8167465925216675
2039,0.28170156478881836,0.8330219984054565
2040,0.26968538761138916,0.7907289862632751
2041,0.2552378475666046,0.7893234491348267
2042,0.236475870013237,0.7867327332496643
2043,0.2270725518465042,0.7714272141456604
2044,0.20704588294029236,0.7564356327056885
2045,0.20345300436019897,0.7836422920227051
2046,0.18873687088489532,0.7541908621788025
2047,0.18393996357917786,0.7668926119804382
2048,0.16368448734283447,0.7330365180969238
2049,0.15749670565128326,0.7485058307647705
2050,0.14404527842998505,0.7440979480743408
2051,0.12703709304332733,0.7388791441917419
2052,0.10999476909637451,0.7229340076446533
2053,0.09203225374221802,0.732827365398407
2054,0.08248306810855865,0.7228453159332275
2055,0.08409130573272705,0.7427648901939392
2056,0.06742309778928757,0.7273845076560974
2057,0.06792647391557693,0.7305328845977783
2058,0.04072442650794983,0.7108507752418518
2059,0.03124120458960533,0.7106230854988098
2060,0.013523725792765617,0.6823090314865112
2061,-0.003168668132275343,0.6972520351409912
2062,0.0017990577034652233,0.701674222946167
2063,-0.016996143385767937,0.6621618866920471
2064,-0.051968932151794434,0.6784323453903198
2065,-0.052241917699575424,0.684743344783783
2066,-0.06184273213148117,0.6420481204986572
2067,-0.08073149621486664,0.6641557812690735
2068,-0.08172725141048431,0.6716728806495667
2069,-0.08209288865327835,0.6799011826515198
2070,-0.10348088294267654,0.6659414172172546
2071,-0.11368898302316666,0.6616947054862976
2072,-0.14167188107967377,0.6284555792808533
2073,-0.14662714302539825,0.6548495292663574
2074,-0.15413318574428558,0.6538771986961365
2075,-0.173178568482399,0.6096354126930237
2076,-0.16749434173107147,0.6487065553665161
2077,-0.18269102275371552,0.600273847579956
2078,-0.1965416818857193,0.6090614199638367
2079,-0.21217750012874603,0.5859887003898621
2080,-0.2087652087211609,0.6091614961624146
2081,-0.2125590592622757,0.610136091709137
2082,-0.23341301083564758,0.6116269826889038
2083,-0.23437219858169556,0.6028360724449158
2084,-0.23872989416122437,0.6013393402099609
2085,-0.24788935482501984,0.5884674787521362
2086,-0.24785812199115753,0.6100233197212219
2087,-0.26189476251602173,0.5791067481040955
2088,-0.2608672082424164,0.5933178663253784
2089,-0.26274219155311584,0.5990613698959351
2090,-0.2754371464252472,0.5719375610351562
2091,-0.259382963180542,0.5927661657333374
2092,-0.27991899847984314,0.5641101002693176
2093,-0.28494223952293396,0.5757672786712646
2094,-0.2715628147125244,0.578488290309906
2095,-0.28407052159309387,0.5740727186203003
2096,-0.28457653522491455,0.5580288171768188
2097,-0.26781392097473145,0.6030386090278625
2098,-0.27636319398880005,0.5707907676696777
2099,-0.27463409304618835,0.5844261646270752
