time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_CUHI_1,Arr_CUHI_1_JJA,Arr_CUHI_1_DJF,Arr_SUHI_1,Arr_SUHI_1_JJA,Arr_SUHI_1_DJF,Arr_CUHI_2,Arr_CUHI_2_JJA,Arr_CUHI_2_DJF,Arr_SUHI_2,Arr_SUHI_2_JJA,Arr_SUHI_2_DJF
2015,0.7666338086128235,0.837743878364563,0.6958826780319214,1.267232060432434,1.3771073818206787,1.1696758270263672,-1.1052016019821167,-1.2537219524383545,-0.8717934489250183,-3.674093246459961,-4.189456462860107,-2.7445573806762695,0.7571877837181091,0.8268006443977356,0.6850385665893555,1.2071272134780884,1.3044990301132202,1.104785442352295
2016,0.7576788663864136,0.8392600417137146,0.6701655387878418,1.2410639524459839,1.3742752075195312,1.137376070022583,-1.1805964708328247,-1.3469990491867065,-0.8291640877723694,-3.797805070877075,-4.352471351623535,-2.6619884967803955,0.7420057058334351,0.8212720155715942,0.654475212097168,1.140875220298767,1.2553095817565918,1.043060302734375
2017,0.7559612989425659,0.8318949937820435,0.6959343552589417,1.24704909324646,1.339043140411377,1.173561453819275,-1.1867890357971191,-1.3125441074371338,-0.92140132188797,-3.7919421195983887,-4.281054496765137,-2.8261616230010986,0.7339324355125427,0.8076172471046448,0.6740903854370117,1.106630563735962,1.1779608726501465,1.0438979864120483
2018,0.7665144205093384,0.8334799408912659,0.706403911113739,1.2614411115646362,1.3447437286376953,1.220098853111267,-1.200868010520935,-1.2902144193649292,-0.8925381302833557,-3.8272461891174316,-4.259300708770752,-2.759861707687378,0.7378004789352417,0.8024893999099731,0.6789469718933105,1.0795232057571411,1.1384512186050415,1.0583600997924805
2019,0.7643623352050781,0.8326720595359802,0.6901397109031677,1.2546963691711426,1.3515450954437256,1.156426191329956,-1.1985465288162231,-1.3072623014450073,-0.868821918964386,-3.8398947715759277,-4.318894386291504,-2.7207961082458496,0.7293646931648254,0.7943594455718994,0.6582087278366089,1.0318390130996704,1.0983301401138306,0.9682400226593018
2020,0.745047390460968,0.8138387799263,0.6929926872253418,1.226741909980774,1.30629563331604,1.1924883127212524,-1.1716428995132446,-1.2945771217346191,-0.8787473440170288,-3.7569632530212402,-4.25613260269165,-2.717442750930786,0.7039948105812073,0.7692516446113586,0.6545664668083191,0.9677292108535767,1.012906789779663,0.9680818915367126
2021,0.745110034942627,0.8188351988792419,0.6904139518737793,1.1998941898345947,1.273798942565918,1.1580342054367065,-1.1892935037612915,-1.3333654403686523,-0.8600995540618896,-3.8294544219970703,-4.374758243560791,-2.7340664863586426,0.6974184513092041,0.7667008638381958,0.6476668119430542,0.8973064422607422,0.9313146471977234,0.9049943685531616
2022,0.7614272236824036,0.834763765335083,0.7144808173179626,1.238929271697998,1.3215556144714355,1.2268396615982056,-1.1770769357681274,-1.3230375051498413,-0.8802229166030884,-3.8087100982666016,-4.355791091918945,-2.741838216781616,0.707128643989563,0.7755839824676514,0.6653472185134888,0.8948900103569031,0.9320018291473389,0.9379912614822388
2023,0.7634997963905334,0.8374009728431702,0.6890273094177246,1.2572311162948608,1.3599337339401245,1.2025675773620605,-1.1979057788848877,-1.3368772268295288,-0.822338342666626,-3.827787160873413,-4.367205619812012,-2.6330578327178955,0.7025023698806763,0.7704721689224243,0.6363069415092468,0.8718113899230957,0.9214287400245667,0.8898129463195801
2024,0.7551563382148743,0.8340427279472351,0.6742587089538574,1.2560105323791504,1.3475924730300903,1.1241745948791504,-1.1823440790176392,-1.3620697259902954,-0.8976333141326904,-3.7745344638824463,-4.361626148223877,-2.824265718460083,0.6882173418998718,0.7600832581520081,0.6145380735397339,0.8336063027381897,0.8670269846916199,0.7711520195007324
2025,0.7635003924369812,0.849715530872345,0.689622700214386,1.2532960176467896,1.373643398284912,1.1707051992416382,-1.2150992155075073,-1.368311882019043,-0.8952073454856873,-3.8849687576293945,-4.441970348358154,-2.7841813564300537,0.6887074708938599,0.7674566507339478,0.6235801577568054,0.7817435264587402,0.8372762203216553,0.7863978147506714
2026,0.7614402174949646,0.8378210663795471,0.6780436635017395,1.246440052986145,1.3567193746566772,1.1520792245864868,-1.2132328748703003,-1.3300786018371582,-0.8483157157897949,-3.872784376144409,-4.373197078704834,-2.703296184539795,0.6799732446670532,0.74992835521698,0.6080130338668823,0.7358900308609009,0.7811583280563354,0.7422192096710205
2027,0.7578421235084534,0.8355706930160522,0.6848401427268982,1.2348989248275757,1.3395336866378784,1.1576762199401855,-1.2198059558868408,-1.3747140169143677,-0.8581594824790955,-3.872075080871582,-4.4349164962768555,-2.71657133102417,0.6699144244194031,0.7393245697021484,0.6089685559272766,0.6856022477149963,0.7168019413948059,0.7150701880455017
2028,0.7563796639442444,0.8339307904243469,0.6831498146057129,1.2310230731964111,1.354162335395813,1.1555521488189697,-1.2114627361297607,-1.3437597751617432,-0.8581465482711792,-3.8654744625091553,-4.358630657196045,-2.711167573928833,0.6620734930038452,0.7318063974380493,0.6029828190803528,0.6419112682342529,0.6926852464675903,0.6865633130073547
2029,0.7644470930099487,0.8275581002235413,0.6750438809394836,1.2712323665618896,1.3280800580978394,1.129457950592041,-1.1898196935653687,-1.3124045133590698,-0.9359820485115051,-3.799337863922119,-4.303620338439941,-2.871199607849121,0.6628361940383911,0.7182098627090454,0.5838099122047424,0.639793872833252,0.6222623586654663,0.6085425019264221
