time,Arr_CUHI_0_day,Arr_CUHI_0_night
2015,0.5635648965835571,0.9026315808296204
2016,0.5572906136512756,0.8921110033988953
2017,0.5552762150764465,0.8930860161781311
2018,0.557898759841919,0.9075387716293335
2019,0.5614169836044312,0.9014687538146973
2020,0.5485101342201233,0.8789845108985901
2021,0.5460649132728577,0.8834399580955505
2022,0.5514833331108093,0.9096930623054504
2023,0.5596295595169067,0.9047409892082214
2024,0.5566838979721069,0.8910260200500488
2025,0.5561836957931519,0.9039096832275391
2026,0.5514188408851624,0.9069751501083374
2027,0.5531030893325806,0.8994935154914856
2028,0.5483348369598389,0.9010239839553833
2029,0.5586522817611694,0.9022274613380432
2030,0.5469528436660767,0.872277557849884
2031,0.5472219586372375,0.8924897313117981
2032,0.5406168699264526,0.9016515612602234
2033,0.555517852306366,0.9010972380638123
2034,0.5417767763137817,0.8774844408035278
2035,0.547288179397583,0.9086664319038391
2036,0.556576132774353,0.9073256850242615
2037,0.5401099920272827,0.8658900260925293
2038,0.541690468788147,0.906322181224823
2039,0.5484430193901062,0.9259083271026611
2040,0.5458857417106628,0.8866082429885864
2041,0.5408439040184021,0.8886397480964661
2042,0.5383505821228027,0.8924551606178284
2043,0.539104163646698,0.8804518580436707
2044,0.5306910872459412,0.869204044342041
2045,0.5407475233078003,0.9016736745834351
2046,0.5338220000267029,0.8733314871788025
2047,0.5442048907279968,0.8936194777488708
2048,0.5311040282249451,0.862150251865387
2049,0.5391156077384949,0.8809148669242859
2050,0.5393887758255005,0.8831389546394348
2051,0.5339455008506775,0.8817636966705322
2052,0.5285401344299316,0.8687006831169128
2053,0.526134729385376,0.8856164813041687
2054,0.528977632522583,0.8791789412498474
2055,0.5396416783332825,0.9021735191345215
2056,0.5328362584114075,0.8907282948493958
2057,0.544173002243042,0.8971928358078003
2058,0.5287677645683289,0.8821980357170105
2059,0.5330355167388916,0.8873946666717529
2060,0.5276528000831604,0.8622749447822571
2061,0.5250853300094604,0.8848730325698853
2062,0.5396055579185486,0.8906180262565613
2063,0.527392566204071,0.8516138195991516
2064,0.5135278701782227,0.8792316913604736
2065,0.5239033699035645,0.8896583914756775
2066,0.5172532796859741,0.8459689617156982
2067,0.5169777870178223,0.87874436378479
2068,0.5213631391525269,0.8853845596313477
2069,0.528835654258728,0.8960878252983093
2070,0.5288523435592651,0.890988290309906
2071,0.5278942584991455,0.8904688954353333
2072,0.5127038955688477,0.8642776012420654
2073,0.5177513957023621,0.892778754234314
2074,0.5214335322380066,0.8948095440864563
2075,0.5094390511512756,0.8559987545013428
2076,0.5253751277923584,0.9003246426582336
2077,0.5077860355377197,0.8465715646743774
2078,0.5173519253730774,0.8656392097473145
2079,0.5009680986404419,0.8459993600845337
2080,0.5152207016944885,0.8714972138404846
2081,0.5143241882324219,0.8704471588134766
2082,0.5067976713180542,0.878916323184967
2083,0.51259845495224,0.8760250210762024
2084,0.5126756429672241,0.8724029064178467
2085,0.5107743740081787,0.8635369539260864
2086,0.5150154829025269,0.8804574608802795
2087,0.5027465224266052,0.8540781140327454
2088,0.5056556463241577,0.8706111311912537
2089,0.5081160664558411,0.8773996829986572
2090,0.49073168635368347,0.8465966582298279
2091,0.5057305693626404,0.8679243922233582
2092,0.49304723739624023,0.841285228729248
2093,0.49488911032676697,0.8607320189476013
2094,0.4996935725212097,0.8526948690414429
2095,0.49376916885375977,0.8517528176307678
2096,0.4876931309700012,0.8334724307060242
2097,0.5065398812294006,0.8801900744438171
2098,0.4921071231365204,0.8415870070457458
2099,0.5007883906364441,0.8612077832221985
