time,Arr_FIRA_U_0,Arr_FIRA_U_0_JJA,Arr_FIRA_U_0_DJF,Arr_FSA_U_0,Arr_FSA_U_0_JJA,Arr_FSA_U_0_DJF,Arr_FSH_U_0,Arr_FSH_U_0_JJA,Arr_FSH_U_0_DJF,Arr_FGR_U_0,Arr_FGR_U_0_JJA,Arr_FGR_U_0_DJF,Arr_EFLX_LH_TOT_U_0,Arr_EFLX_LH_TOT_U_0_JJA,Arr_EFLX_LH_TOT_U_0_DJF,Arr_AC_0,Arr_AC_0_JJA,Arr_AC_0_DJF,Arr_HEAT_0,Arr_HEAT_0_JJA,Arr_HEAT_0_DJF,Arr_AHF_0,Arr_AHF_0_JJA,Arr_AHF_0_DJF,Arr_WASTEHEAT_0,Arr_WASTEHEAT_0_JJA,Arr_WASTEHEAT_0_DJF
2015,67.08872985839844,68.7216567993164,59.5531120300293,159.87782287597656,180.0163116455078,120.10735321044922,54.86973571777344,64.2893295288086,39.702369689941406,-2.1958024501800537,1.4013912677764893,-9.150564193725586,41.14982604980469,46.134281158447266,32.179080963134766,0.0018390263430774212,0.00490232091397047,6.432518421206623e-05,0.06708337366580963,0.0030022053979337215,0.17135316133499146,0.08159815520048141,0.006524513475596905,0.20566324889659882,0.014514806680381298,0.003522307612001896,0.03431008756160736
2016,66.5053482055664,69.70320129394531,58.63666534423828,159.4129180908203,181.21954345703125,118.31158447265625,55.59408950805664,65.12232208251953,39.035194396972656,-2.3160924911499023,1.4001898765563965,-9.175317764282227,40.672950744628906,45.5771484375,31.99164581298828,0.0019570381846278906,0.005130792036652565,4.345598063082434e-05,0.06271971762180328,0.003795160911977291,0.1746779978275299,0.07643274962902069,0.007616111077368259,0.2096344232559204,0.01371304877102375,0.0038209494668990374,0.0349564254283905
2017,66.43856811523438,68.05413055419922,61.66242599487305,159.13023376464844,179.62449645996094,120.79338836669922,55.671138763427734,64.88789367675781,39.85920715332031,-2.644865036010742,1.245929479598999,-9.822304725646973,40.764408111572266,46.046077728271484,31.34111213684082,0.0019029389368370175,0.005080522038042545,3.753804412554018e-05,0.07023689895868301,0.0031495464500039816,0.19032327830791473,0.08541987091302872,0.006805907469242811,0.22839556634426117,0.0151829794049263,0.0036563617177307606,0.03807230293750763
2018,67.4615478515625,68.55767822265625,61.05732345581055,159.684326171875,179.8347930908203,120.66290283203125,55.815067291259766,64.4276123046875,39.817745208740234,-2.7016422748565674,1.1553784608840942,-9.269684791564941,40.15927505493164,46.20820617675781,31.270116806030273,0.0017313332064077258,0.004726022481918335,6.0463498812168837e-05,0.06936252117156982,0.004261824302375317,0.1688278764486313,0.08426548540592194,0.00792638584971428,0.20265507698059082,0.014902988448739052,0.0036645629443228245,0.03382723405957222
2019,67.16532135009766,69.22161865234375,58.637229919433594,159.80181884765625,180.6831512451172,119.64104461669922,56.53453826904297,65.81689453125,40.4679069519043,-2.6120636463165283,1.2393944263458252,-9.75818920135498,39.76657485961914,44.929931640625,32.516761779785156,0.0018887246260419488,0.005094843450933695,7.128821016522124e-05,0.06477239727973938,0.0042532081715762615,0.1723652184009552,0.07885399460792542,0.008136793971061707,0.2068442851305008,0.014081600122153759,0.0038835867308080196,0.03447910398244858
2020,65.86943817138672,68.26280975341797,59.7456169128418,158.34852600097656,178.9393768310547,119.58290100097656,55.464332580566406,64.21429443359375,39.12846374511719,-2.8170433044433594,1.1681421995162964,-9.502421379089355,40.95150375366211,45.89673614501953,32.46165084838867,0.0019307000329717994,0.005151090212166309,7.59808681323193e-05,0.06986425071954727,0.004325073212385178,0.1891760230064392,0.08498632162809372,0.00825988408178091,0.22706012427806854,0.015122044831514359,0.003934810869395733,0.03788410499691963
2021,66.4461898803711,69.05923461914062,60.34977340698242,158.8439178466797,179.88133239746094,119.45714569091797,55.267635345458984,64.591064453125,40.20442199707031,-2.6331539154052734,1.1484299898147583,-10.282797813415527,40.86062240600586,45.65992736816406,31.5459041595459,0.0019741682335734367,0.004857195075601339,2.7839889298775233e-05,0.07230212539434433,0.0042075058445334435,0.1990577131509781,0.08794444054365158,0.007956231944262981,0.23886871337890625,0.015642277896404266,0.0037487263325601816,0.039811015129089355
2022,67.1260757446289,69.68177795410156,60.9405403137207,159.45347595214844,180.86241149902344,120.28925323486328,56.23797607421875,65.4759750366211,40.752254486083984,-2.8911168575286865,1.2612282037734985,-9.915349006652832,40.104801177978516,44.96440505981445,30.838783264160156,0.0017863146495074034,0.0048036230728030205,3.275702692917548e-05,0.07508637756109238,0.003247685730457306,0.19505393505096436,0.09117066115140915,0.006769088096916676,0.234087735414505,0.01608429104089737,0.0035214030649513006,0.03903380036354065
2023,67.10810852050781,69.79393005371094,57.96781539916992,159.8222198486328,182.0502166748047,118.55123901367188,56.49678421020508,65.83402252197266,41.22283935546875,-2.72554349899292,1.366331696510315,-9.310589790344238,40.05917739868164,45.64109802246094,30.89011001586914,0.0017777865286916494,0.004925537388771772,5.149922799319029e-05,0.07340290397405624,0.004414479713886976,0.17754405736923218,0.08914458006620407,0.008236118592321873,0.21310043334960938,0.015741677954792976,0.003821637714281678,0.03555639088153839
2024,65.5906982421875,68.39153289794922,60.42911148071289,158.67726135253906,180.8108367919922,120.22555541992188,56.19655227661133,64.68982696533203,39.24589157104492,-2.6548309326171875,1.1540454626083374,-9.087151527404785,40.60375213623047,47.045040130615234,31.727916717529297,0.001653339364565909,0.004396199714392424,8.949694165494293e-05,0.06896235048770905,0.003353792941197753,0.1674959361553192,0.08373922854661942,0.006645688321441412,0.2010248303413391,0.014776869677007198,0.00329189607873559,0.0335288941860199
