time,Arr_FIRA_U_0,Arr_FIRA_U_0_JJA,Arr_FIRA_U_0_DJF,Arr_FIRA_U_1,Arr_FIRA_U_1_JJA,Arr_FIRA_U_1_DJF,Arr_FIRA_U_2,Arr_FIRA_U_2_JJA,Arr_FIRA_U_2_DJF,Arr_FSA_U_0,Arr_FSA_U_0_JJA,Arr_FSA_U_0_DJF,Arr_FSA_U_1,Arr_FSA_U_1_JJA,Arr_FSA_U_1_DJF,Arr_FSA_U_2,Arr_FSA_U_2_JJA,Arr_FSA_U_2_DJF,Arr_FSH_U_0,Arr_FSH_U_0_JJA,Arr_FSH_U_0_DJF,Arr_FSH_U_1,Arr_FSH_U_1_JJA,Arr_FSH_U_1_DJF,Arr_FSH_U_2,Arr_FSH_U_2_JJA,Arr_FSH_U_2_DJF,Arr_FGR_U_0,Arr_FGR_U_0_JJA,Arr_FGR_U_0_DJF,Arr_FGR_U_1,Arr_FGR_U_1_JJA,Arr_FGR_U_1_DJF,Arr_FGR_U_2,Arr_FGR_U_2_JJA,Arr_FGR_U_2_DJF,Arr_EFLX_LH_TOT_U_0,Arr_EFLX_LH_TOT_U_0_JJA,Arr_EFLX_LH_TOT_U_0_DJF,Arr_EFLX_LH_TOT_U_1,Arr_EFLX_LH_TOT_U_1_JJA,Arr_EFLX_LH_TOT_U_1_DJF,Arr_EFLX_LH_TOT_U_2,Arr_EFLX_LH_TOT_U_2_JJA,Arr_EFLX_LH_TOT_U_2_DJF,Arr_AC_0,Arr_AC_0_JJA,Arr_AC_0_DJF,Arr_AC_1,Arr_AC_1_JJA,Arr_AC_1_DJF,Arr_AC_2,Arr_AC_2_JJA,Arr_AC_2_DJF,Arr_HEAT_0,Arr_HEAT_0_JJA,Arr_HEAT_0_DJF,Arr_HEAT_1,Arr_HEAT_1_JJA,Arr_HEAT_1_DJF,Arr_HEAT_2,Arr_HEAT_2_JJA,Arr_HEAT_2_DJF,Arr_AHF_0,Arr_AHF_0_JJA,Arr_AHF_0_DJF,Arr_AHF_1,Arr_AHF_1_JJA,Arr_AHF_1_DJF,Arr_AHF_2,Arr_AHF_2_JJA,Arr_AHF_2_DJF,Arr_WASTEHEAT_0,Arr_WASTEHEAT_0_JJA,Arr_WASTEHEAT_0_DJF,Arr_WASTEHEAT_1,Arr_WASTEHEAT_1_JJA,Arr_WASTEHEAT_1_DJF,Arr_WASTEHEAT_2,Arr_WASTEHEAT_2_JJA,Arr_WASTEHEAT_2_DJF
2015,67.63423919677734,69.26976776123047,59.68782424926758,54.7716178894043,54.3988151550293,50.040855407714844,67.43521881103516,69.0377197265625,59.54094314575195,159.8452606201172,180.01638793945312,120.1080322265625,101.20155334472656,114.13796997070312,75.07293701171875,158.92759704589844,178.98326110839844,119.40312194824219,57.14102554321289,66.58434295654297,40.35736083984375,17.552165985107422,21.87628936767578,10.38661003112793,56.491310119628906,65.85303497314453,39.86017608642578,-1.9296692609786987,1.4616559743881226,-9.061532974243164,-2.3983941078186035,1.435315489768982,-9.717122077941895,-1.934752106666565,1.4632405042648315,-9.07059097290039,38.03131103515625,43.234622955322266,31.298994064331055,32.30168914794922,36.743408203125,26.65693473815918,37.966835021972656,43.15888214111328,31.248897552490234,0.0018767362926155329,0.004981338977813721,6.799646507715806e-05,0.0008394030737690628,0.002466098638251424,6.419576493499335e-06,0.0018553870031610131,0.004930307622998953,6.586391828022897e-05,0.06660445034503937,0.002934614894911647,0.170894056558609,0.07528708130121231,0.0043404982425272465,0.18424083292484283,0.06672516465187073,0.002953441347926855,0.17108991742134094,0.08104614168405533,0.006489453371614218,0.20511233806610107,0.09084529429674149,0.006676162593066692,0.22109216451644897,0.081178218126297,0.006481587886810303,0.20534618198871613,0.01444167923182249,0.003554839175194502,0.034218285232782364,0.015558228828012943,0.0023356645833700895,0.03685132786631584,0.014453060925006866,0.0035281460732221603,0.03425624221563339
2016,66.631591796875,69.83899688720703,58.68620300292969,53.710296630859375,54.69038009643555,49.33727264404297,66.43194580078125,69.60311889648438,58.543087005615234,159.41323852539062,181.21958923339844,118.3122787475586,100.94432067871094,114.95219421386719,73.95759582519531,158.4982147216797,180.1813201904297,117.61627197265625,56.17476272583008,65.70054626464844,39.27406311035156,16.517671585083008,20.4705867767334,9.875571250915527,55.52433395385742,64.96161651611328,38.78544998168945,-2.256957530975342,1.436639428138733,-9.125476837158203,-2.5965869426727295,1.408022165298462,-9.821553230285645,-2.260275363922119,1.438288927078247,-9.135268211364746,39.9063835144043,44.82675552368164,31.653396606445312,34.34602737426758,38.72782897949219,26.870365142822266,39.84413146972656,44.757083892822266,31.600793838500977,0.001957785105332732,0.00513457041233778,4.3445143091958016e-05,0.0009245137334801257,0.0026480930391699076,7.88039506005589e-06,0.0019375176634639502,0.0050858003087341785,4.218639514874667e-05,0.06252268701791763,0.0037667418364435434,0.1744765043258667,0.07121603935956955,0.005248935427516699,0.18797028064727783,0.06264343857765198,0.0037871983367949724,0.1746751368045807,0.07619678974151611,0.0075843241065740585,0.20939265191555023,0.08601121604442596,0.007878869771957397,0.22556832432746887,0.0763295516371727,0.007579760160297155,0.20963048934936523,0.01367409247905016,0.0038175825029611588,0.03491615876555443,0.014795161783695221,0.0026299345772713423,0.03759803622961044,0.013686126098036766,0.0037925613578408957,0.034955330193042755
2017,66.48687744140625,68.1001205444336,61.67576599121094,53.640281677246094,53.36753845214844,52.05615997314453,66.28826904296875,67.87031555175781,61.528770446777344,159.13038635253906,179.62454223632812,120.7930908203125,100.82447814941406,114.00596618652344,75.42769622802734,158.21737670898438,178.5956268310547,120.08129119873047,55.88462448120117,65.07054901123047,39.923095703125,16.335723876953125,20.515092849731445,9.699419021606445,55.23469161987305,64.33948516845703,39.42101287841797,-2.6071341037750244,1.2732813358306885,-9.785794258117676,-2.9402658939361572,1.295724630355835,-10.46042251586914,-2.6104016304016113,1.2755346298217773,-9.795280456542969,40.46477127075195,45.79011917114258,31.22689437866211,34.876426696777344,39.194271087646484,26.511455535888672,40.40296936035156,45.7154426574707,31.175621032714844,0.0019039922626689076,0.005082796793431044,3.762306732824072e-05,0.0009012597729451954,0.002645420143380761,7.088576694513904e-06,0.0018846775637939572,0.005036131478846073,3.6613437259802595e-05,0.07015884667634964,0.0031455415301024914,0.19025316834449768,0.07905735075473785,0.004480473231524229,0.20453734695911407,0.07028432190418243,0.0031634345650672913,0.19046342372894287,0.08532681316137314,0.006802409887313843,0.2283114492893219,0.09540607035160065,0.0069520254619419575,0.2454371452331543,0.08546587824821472,0.0067960768938064575,0.22856323421001434,0.015167979523539543,0.0036568683572113514,0.0380583181977272,0.01634872704744339,0.002471552463248372,0.04089978709816933,0.015181537717580795,0.003632641863077879,0.03809981420636177
2018,67.48384094238281,68.58638000488281,61.07002258300781,54.62112808227539,53.86598205566406,51.415626525878906,67.28484344482422,68.35660552978516,60.92286682128906,159.68426513671875,179.8347625732422,120.66259765625,101.13127899169922,114.042236328125,75.54451751708984,158.7674560546875,178.80345153808594,119.95613861083984,55.91165542602539,64.5458984375,39.873619079589844,16.262977600097656,20.057998657226562,9.401891708374023,55.260135650634766,63.81556701660156,39.36948013305664,-2.6709859371185303,1.1807458400726318,-9.235377311706543,-3.013568639755249,1.1339436769485474,-9.935973167419434,-2.674382209777832,1.1820875406265259,-9.245224952697754,40.00952911376953,46.035797119140625,31.16681671142578,34.31444549560547,39.27780532836914,26.996826171875,39.94619369506836,45.95889663696289,31.123212814331055,0.0017315163277089596,0.004727063234895468,6.048118302715011e-05,0.0007552399183623493,0.002240903442725539,5.602620603895048e-06,0.0017110396875068545,0.004676619544625282,5.856826828676276e-05,0.06932669132947922,0.004257882945239544,0.16879667341709137,0.07833732664585114,0.00600366061553359,0.18275995552539825,0.06945296376943588,0.004281999543309212,0.16899988055229187,0.08422261476516724,0.007922286167740822,0.20261768996715546,0.09445241838693619,0.008536230772733688,0.219313845038414,0.08436193317174911,0.007921162992715836,0.202859565615654,0.014895936474204063,0.003664401825517416,0.03382101655006409,0.016115108504891396,0.0025325710885226727,0.036553848534822464,0.014908961951732635,0.00363916321657598,0.03385966643691063
2019,67.17608642578125,69.23269653320312,58.63740539550781,54.19422149658203,54.275794982910156,49.08677291870117,66.97567749023438,69.00011444091797,58.01361846923828,159.8018341064453,180.6831512451172,119.64054107666016,101.19189453125,114.55899047851562,74.87877655029297,158.8849334716797,179.64785766601562,116.55107116699219,56.58641815185547,65.8681411743164,40.47303771972656,16.678693771362305,20.670621871948242,10.640299797058105,55.93195724487305,65.13040161132812,38.33409881591797,-2.5867111682891846,1.2585583925247192,-9.728998184204102,-2.891981840133667,1.2082754373550415,-10.300589561462402,-2.589550256729126,1.2598371505737305,-9.797542572021484,39.67852020263672,44.848419189453125,32.481773376464844,34.26169967651367,38.70909118652344,27.78531837463379,39.61873245239258,44.77789306640625,32.23113250732422,0.0018888524500653148,0.0050950306467711926,7.129897858249024e-05,0.0008416312048211694,0.0024883791338652372,6.610438958887244e-06,0.0018675442552194,0.005043773911893368,6.906736962264404e-05,0.06476037949323654,0.00425113458186388,0.1723659336566925,0.07325136661529541,0.006043089088052511,0.18438631296157837,0.06487821787595749,0.004275764804333448,0.17318545281887054,0.07883964478969574,0.008134414441883564,0.20684514939785004,0.08840342611074448,0.008731433190405369,0.22125424444675446,0.0789683535695076,0.008133410476148129,0.20782668888568878,0.01407927181571722,0.003883280325680971,0.03447924926877022,0.01515208464115858,0.002688343869522214,0.03686794638633728,0.01409011147916317,0.0038576447404921055,0.03464122116565704
2020,65.87295532226562,68.26730346679688,59.74494552612305,53.064361572265625,53.5362548828125,50.18701934814453,64.6943588256836,66.8969955444336,58.87104034423828,158.3485870361328,178.9393768310547,119.58306884765625,100.20104217529297,113.26361083984375,74.66961669921875,152.89492797851562,172.7692413330078,115.35621643066406,55.48344039916992,64.23611450195312,39.127479553222656,16.1905460357666,19.9200382232666,9.234949111938477,51.64954376220703,59.90428161621094,36.155399322509766,-2.7940051555633545,1.1859878301620483,-9.474234580993652,-3.1082074642181396,1.1262611150741577,-10.15330696105957,-2.8226542472839355,1.1901135444641113,-9.532642364501953,40.90586853027344,45.85255432128906,32.43528366088867,35.16182327270508,39.050418853759766,27.774816513061523,40.489681243896484,45.35422897338867,32.1237907409668,0.0019307442707940936,0.005151255521923304,7.597283547511324e-05,0.0009288284927606583,0.002639222424477339,1.6836722352309152e-05,0.0018133689882233739,0.004861373454332352,6.66839987388812e-05,0.06986363977193832,0.00432516448199749,0.1891791671514511,0.07813186943531036,0.006279715336859226,0.2025737762451172,0.07057171314954758,0.004485586192458868,0.19039355218410492,0.08498559892177582,0.008260087110102177,0.22706392407417297,0.09430890530347824,0.009108276106417179,0.24309669435024261,0.08576514571905136,0.008279749192297459,0.22851336002349854,0.015121943317353725,0.003934923559427261,0.037884730845689774,0.016177041456103325,0.0028285603038966656,0.04052290692925453,0.015193436294794083,0.003794162767007947,0.038119785487651825
2021,66.4473648071289,69.06143188476562,60.34852600097656,53.63370895385742,54.2076301574707,50.9239616394043,65.25999450683594,67.67547607421875,59.4849739074707,158.84397888183594,179.88133239746094,119.45693969726562,100.49542236328125,114.01211547851562,74.87706756591797,153.35711669921875,173.6874237060547,115.2632827758789,55.27385330200195,64.60047912597656,40.19862747192383,15.786764144897461,20.0241641998291,10.362567901611328,51.38959503173828,60.2344970703125,37.234066009521484,-2.6119556427001953,1.1647781133651733,-10.257467269897461,-2.9798126220703125,1.186293363571167,-10.907279968261719,-2.6363184452056885,1.176939845085144,-10.313431739807129,40.83208465576172,45.631954193115234,31.52742576599121,35.14381790161133,38.94960021972656,26.975887298583984,40.437679290771484,45.152652740478516,31.228313446044922,0.0019741894211620092,0.004857266787439585,2.7841546398121864e-05,0.0009081980679184198,0.0024854387156665325,1.644077769924479e-06,0.001849499880336225,0.004589044954627752,2.0089772078790702e-05,0.07230545580387115,0.004207565914839506,0.19906722009181976,0.08153745532035828,0.005989394150674343,0.21273985505104065,0.07310185581445694,0.0043636951595544815,0.20030389726161957,0.08794844150543213,0.007956345565617085,0.23888014256954193,0.0983886793255806,0.008675016462802887,0.2552781105041504,0.08882946521043777,0.007983208633959293,0.24036157131195068,0.015642957761883736,0.0037487796507775784,0.039812926203012466,0.016851231455802917,0.0026856206823140383,0.04253823310136795,0.015727607533335686,0.0036195123102515936,0.0400577038526535
2022,67.12596893310547,69.68323516845703,60.93824768066406,54.294044494628906,54.77021026611328,51.34395217895508,65.93499755859375,68.29029083251953,60.06306076049805,159.45355224609375,180.86241149902344,120.2891845703125,101.0264892578125,114.58393096923828,75.10797119140625,153.95846557617188,174.6257781982422,116.04586791992188,56.23847961425781,65.48245239257812,40.74424743652344,16.61907386779785,20.512746810913086,10.51145076751709,52.33735656738281,61.072261810302734,37.74513626098633,-2.871368169784546,1.2776999473571777,-9.8914794921875,-3.197652578353882,1.2492190599441528,-10.555450439453125,-2.8914523124694824,1.2871500253677368,-9.947953224182129,40.084747314453125,44.94001388549805,30.82518196105957,34.43104934692383,38.35590744018555,26.256071090698242,39.698890686035156,44.4724006652832,30.523351669311523,0.0017863574903458357,0.004803766962140799,3.279832162661478e-05,0.0008056856459006667,0.0023543096613138914,1.3527345572583727e-06,0.0016695986269041896,0.0045244405046105385,2.5546331016812474e-05,0.07509047538042068,0.0032479811925441027,0.19505830109119415,0.08370542526245117,0.004665718879550695,0.2088535875082016,0.07583444565534592,0.003367586759850383,0.19630594551563263,0.0911756306886673,0.006769521161913872,0.23409304022789001,0.10092657059431076,0.007006370462477207,0.2506202757358551,0.09199849516153336,0.006746064871549606,0.23558415472507477,0.016085132956504822,0.0035215390380471945,0.039034727960824966,0.0172211155295372,0.002340650884434581,0.04176671430468559,0.01616404950618744,0.00337847787886858,0.039278194308280945
2023,67.10708618164062,69.79398345947266,57.9652214050293,54.20477294921875,54.71218490600586,48.61320877075195,65.91212463378906,68.38648986816406,57.1063117980957,159.8222198486328,182.0502166748047,118.55056762695312,101.24081420898438,115.43199157714844,74.2986831665039,154.32073974609375,175.79225158691406,114.38616943359375,56.493988037109375,65.8344497680664,41.21379089355469,16.686555862426758,20.37324333190918,11.509163856506348,52.583683013916016,61.3880615234375,38.266700744628906,-2.707265615463257,1.3808358907699585,-9.287335395812988,-3.07116961479187,1.36556077003479,-9.86309814453125,-2.73059344291687,1.3915051221847534,-9.337039947509766,40.04475784301758,45.62610626220703,30.877840042114258,34.53753662109375,39.33399200439453,26.37114143371582,39.669776916503906,45.1863899230957,30.579317092895508,0.0017778027104213834,0.0049254409968853,5.15559695486445e-05,0.0008073910139501095,0.002451056381687522,3.961180027545197e-06,0.0016642640111967921,0.004645615350455046,4.1166567825712264e-05,0.0734037235379219,0.004412523470818996,0.17754605412483215,0.08273302763700485,0.006428401917219162,0.1903080940246582,0.07420679181814194,0.004585186019539833,0.17871372401714325,0.08914556354284286,0.008233709260821342,0.2131028175354004,0.0997607633471489,0.009177123196423054,0.22836536169052124,0.09004141390323639,0.008274066261947155,0.2144949734210968,0.015741849318146706,0.003821185790002346,0.03555678948760033,0.017027730122208595,0.002748721046373248,0.03805726394057274,0.015834614634513855,0.0036888790782541037,0.03578127175569534
2024,65.59069061279297,68.3930435180664,60.427757263183594,52.8124885559082,53.46735382080078,50.73287582397461,64.40640258789062,67.00127410888672,59.05057144165039,158.67713928222656,180.8108367919922,120.22628021240234,100.64187622070312,114.94758605957031,74.76271057128906,153.22201538085938,174.61648559570312,113.50823974609375,56.19770812988281,64.69669342041016,39.24319076538086,16.735477447509766,19.838716506958008,8.726475715637207,52.31657791137695,60.29660415649414,34.543983459472656,-2.6372146606445312,1.1681723594665527,-9.065464973449707,-2.9449234008789062,1.2087526321411133,-9.737007141113281,-2.655352830886841,1.1842249631881714,-9.190783500671387,40.584869384765625,47.02257537841797,31.71099853515625,35.10422897338867,40.71363067626953,27.26071548461914,40.21160888671875,46.58274841308594,31.212963104248047,0.0016534989699721336,0.0043967412784695625,8.949474431574345e-05,0.0007903905352577567,0.002263609552755952,1.1189875294803642e-05,0.0015530133387073874,0.004156183451414108,7.621093391207978e-05,0.0689614862203598,0.003352665575221181,0.16749481856822968,0.07772297412157059,0.00482161482796073,0.18176618218421936,0.06971503049135208,0.003474164055660367,0.16952350735664368,0.0837383046746254,0.006644663400948048,0.20102348923683167,0.09373649209737778,0.007135362830013037,0.21812446415424347,0.08458251506090164,0.006647028494626284,0.20345145463943481,0.014776799827814102,0.0032919980585575104,0.03352866694331169,0.01601347327232361,0.0023137477692216635,0.03635828197002411,0.01486749853938818,0.0031728646717965603,0.03392793983221054
