time,Arr_TBOT_1,Arr_TBOT_1_JJA,Arr_TBOT_1_DJF,Arr_FSDS_1,Arr_FSDS_1_JJA,Arr_FSDS_1_DJF,Arr_FLDS_1,Arr_FLDS_1_JJA,Arr_FLDS_1_DJF,Arr_QBOT_1,Arr_QBOT_1_JJA,Arr_QBOT_1_DJF,Arr_PBOT_1,Arr_PBOT_1_JJA,Arr_PBOT_1_DJF,Arr_RAIN_1,Arr_RAIN_1_JJA,Arr_RAIN_1_DJF,Arr_SNOW_1,Arr_SNOW_1_JJA,Arr_SNOW_1_DJF
2015,18.17251968383789,23.4168643951416,12.086994171142578,193.65065002441406,217.48960876464844,146.97869873046875,352.5513000488281,382.66766357421875,324.3946838378906,0.009675885550677776,0.011980379931628704,0.007669124752283096,95468.78125,95354.5703125,95613.6328125,3.28918504237663e-05,4.000476110377349e-05,2.735733323788736e-05,1.0861228929570643e-06,5.183532891805953e-08,2.797846718749497e-06
2016,18.37648582458496,23.657405853271484,12.151642799377441,193.04478454589844,218.8238067626953,144.86622619628906,354.7554931640625,383.38653564453125,325.4712829589844,0.009837198071181774,0.011951779946684837,0.007845175452530384,95488.6171875,95350.59375,95661.3515625,3.255897536291741e-05,3.714934427989647e-05,2.89769141090801e-05,1.076007379197108e-06,5.1439705828215665e-08,3.041087211386184e-06
2017,18.17447853088379,23.48767852783203,11.844322204589844,192.78163146972656,216.97398376464844,147.62319946289062,353.68267822265625,383.9366455078125,320.3605041503906,0.009796424768865108,0.012164019048213959,0.007434242404997349,95512.3984375,95405.7421875,95602.5625,3.371668208274059e-05,4.245772652211599e-05,2.7469122869661078e-05,1.2218675919939415e-06,4.4745970484427744e-08,2.9774698759865714e-06
2018,17.888113021850586,23.041366577148438,11.852624893188477,193.34292602539062,217.23329162597656,147.89332580566406,350.6705017089844,380.5557556152344,321.1546936035156,0.009496117942035198,0.011863317340612411,0.007441399153321981,95450.8046875,95300.6171875,95775.1875,3.3481293939985335e-05,4.362335312180221e-05,2.486997800588142e-05,1.1701696394084138e-06,6.140830777212614e-08,3.0814237561571645e-06
2019,18.060874938964844,23.341289520263672,12.063624382019043,193.64573669433594,218.1383514404297,146.51702880859375,352.4167175292969,382.0890197753906,325.67279052734375,0.009609855711460114,0.011872741393744946,0.00775500712916255,95449.4140625,95311.609375,95527.5234375,3.1395429687108845e-05,3.7965772207826376e-05,2.836596468114294e-05,1.2841642273997422e-06,4.734434355668782e-08,3.1636539006285602e-06
2020,18.1827335357666,23.43623161315918,11.809415817260742,191.8520050048828,216.14834594726562,146.35621643066406,354.4869079589844,383.3089904785156,322.3451232910156,0.009830649942159653,0.012079901993274689,0.007532501593232155,95431.9921875,95286.0,95659.453125,3.545997242326848e-05,4.4985015847487375e-05,2.714561742322985e-05,1.1806937436631415e-06,6.87884806893635e-08,2.9296622869878775e-06
2021,17.990909576416016,23.368066787719727,11.442035675048828,192.4786834716797,217.3065948486328,146.67027282714844,352.3621826171875,382.0492248535156,320.20477294921875,0.009656882844865322,0.01189116109162569,0.007322482764720917,95452.0390625,95284.09375,95545.765625,3.296077920822427e-05,3.95218376070261e-05,2.6364392397226766e-05,1.126928054873133e-06,5.5996395076363115e-08,3.794631084019784e-06
2022,17.847383499145508,23.360565185546875,11.530919075012207,193.42218017578125,218.5634002685547,147.17970275878906,351.1069030761719,381.3340759277344,320.05389404296875,0.009518969804048538,0.011843185871839523,0.007349749561399221,95461.8828125,95317.640625,95581.6328125,3.3364885894116014e-05,4.148996958974749e-05,2.666162072273437e-05,1.3605127833216102e-06,6.227747206821732e-08,3.1828362807573285e-06
2023,17.88087272644043,23.227163314819336,12.115633010864258,193.62303161621094,219.7784423828125,145.3777618408203,351.447265625,380.76171875,326.7565002441406,0.009553070180118084,0.011748822405934334,0.007807700429111719,95456.703125,95337.0625,95601.7109375,3.2226926123257726e-05,3.833655864582397e-05,2.6910045562544838e-05,1.3254619943836587e-06,5.9496450433016435e-08,3.532478331180755e-06
2024,18.20556640625,23.513853073120117,12.326902389526367,192.2504425048828,218.2852783203125,146.89794921875,354.9896240234375,383.6975402832031,324.30914306640625,0.009884532541036606,0.012119749560952187,0.007689622696489096,95514.0,95386.6328125,95616.484375,3.301835749880411e-05,3.983340138802305e-05,2.803741517709568e-05,1.2472007711039623e-06,3.3008021205205296e-08,3.12198608298786e-06
