time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_SWBGT_U_0,Arr_SWBGT_U_0_JJA,Arr_SWBGT_U_0_DJF,Arr_TBUILD_0,Arr_TBUILD_0_JJA,Arr_TBUILD_0_DJF
2015,0.7666338086128235,0.837743878364563,0.6958826780319214,1.267232060432434,1.3771073818206787,1.1696758270263672,20.864961624145508,25.295272827148438,16.10254669189453,22.748361587524414,26.38615608215332,19.194143295288086
2016,0.7576788663864136,0.8392600417137146,0.6701655387878418,1.2410639524459839,1.3742752075195312,1.137376070022583,21.08318519592285,25.41452980041504,16.246904373168945,22.94478416442871,26.661882400512695,19.179271697998047
2017,0.7559612989425659,0.8318949937820435,0.6959343552589417,1.24704909324646,1.339043140411377,1.173561453819275,20.947982788085938,25.453332901000977,15.813599586486816,22.84559440612793,26.429401397705078,19.09747314453125
2018,0.7665144205093384,0.8334799408912659,0.706403911113739,1.2614411115646362,1.3447437286376953,1.220098853111267,20.600807189941406,25.015398025512695,15.831657409667969,22.56339454650879,26.029979705810547,19.00382423400879
2019,0.7643623352050781,0.8326720595359802,0.6901397109031677,1.2546963691711426,1.3515450954437256,1.156426191329956,20.766733169555664,25.18805694580078,16.139896392822266,22.763885498046875,26.36929702758789,19.3657283782959
2020,0.745047390460968,0.8138387799263,0.6929926872253418,1.226741909980774,1.30629563331604,1.1924883127212524,20.965702056884766,25.360376358032227,15.863846778869629,22.92261505126953,26.379907608032227,19.05776023864746
2021,0.745110034942627,0.8188351988792419,0.6904139518737793,1.1998941898345947,1.273798942565918,1.1580342054367065,20.753971099853516,25.213790893554688,15.522745132446289,22.658531188964844,26.374074935913086,19.0040225982666
2022,0.7614272236824036,0.834763765335083,0.7144808173179626,1.238929271697998,1.3215556144714355,1.2268396615982056,20.59567642211914,25.187639236450195,15.592589378356934,22.67466926574707,26.35688018798828,19.01814842224121
2023,0.7634997963905334,0.8374009728431702,0.6890273094177246,1.2572311162948608,1.3599337339401245,1.2025675773620605,20.63347625732422,25.057880401611328,16.2088565826416,22.66610336303711,26.226593017578125,19.36560821533203
2024,0.7551563382148743,0.8340427279472351,0.6742587089538574,1.2560105323791504,1.3475924730300903,1.1241745948791504,21.0200138092041,25.44029998779297,16.240415573120117,22.94660186767578,26.544466018676758,19.19509506225586
2025,0.7635003924369812,0.849715530872345,0.689622700214386,1.2532960176467896,1.373643398284912,1.1707051992416382,20.97498321533203,25.405628204345703,16.240617752075195,22.998559951782227,26.690366744995117,19.346271514892578
2026,0.7614402174949646,0.8378210663795471,0.6780436635017395,1.246440052986145,1.3567193746566772,1.1520792245864868,21.081764221191406,25.403276443481445,16.105527877807617,23.02227020263672,26.629150390625,19.338520050048828
2027,0.7578421235084534,0.8355706930160522,0.6848401427268982,1.2348989248275757,1.3395336866378784,1.1576762199401855,21.24235725402832,25.52956199645996,16.50307846069336,23.188730239868164,26.749162673950195,19.455791473388672
2028,0.7563796639442444,0.8339307904243469,0.6831498146057129,1.2310230731964111,1.354162335395813,1.1555521488189697,21.15196418762207,25.531078338623047,15.82386589050293,23.062482833862305,26.72211456298828,19.21783447265625
2029,0.7644470930099487,0.8275581002235413,0.6750438809394836,1.2712323665618896,1.3280800580978394,1.129457950592041,20.771862030029297,25.422687530517578,16.470796585083008,22.890117645263672,26.474185943603516,19.516468048095703
2030,0.7408777475357056,0.8301411867141724,0.6826353669166565,1.1994436979293823,1.3537302017211914,1.1779981851577759,21.375680923461914,25.65189552307129,16.394046783447266,23.194961547851562,26.769203186035156,19.514156341552734
2031,0.7544927597045898,0.8115450143814087,0.7061291933059692,1.2391982078552246,1.2974541187286377,1.1358206272125244,21.24574851989746,25.704614639282227,16.282503128051758,23.095535278320312,26.569599151611328,19.25422477722168
2032,0.7562255263328552,0.8229567408561707,0.6933976411819458,1.217136263847351,1.3152313232421875,1.22151517868042,20.893648147583008,25.35586166381836,15.569072723388672,22.873016357421875,26.455522537231445,19.286928176879883
2033,0.7593374848365784,0.8306275010108948,0.6891263723373413,1.2664079666137695,1.352157473564148,1.1655079126358032,21.030492782592773,25.488496780395508,16.62875747680664,23.123516082763672,26.678194046020508,19.70578956604004
2034,0.7407300472259521,0.8160730004310608,0.6927782893180847,1.2075016498565674,1.3052058219909668,1.1540640592575073,21.406827926635742,25.864322662353516,16.092374801635742,23.247167587280273,26.812833786010742,19.202444076538086
2035,0.763442873954773,0.8296603560447693,0.6998036503791809,1.2472481727600098,1.2944059371948242,1.1722851991653442,20.969655990600586,25.626510620117188,15.907593727111816,22.958446502685547,26.801132202148438,19.23598861694336
2036,0.767512857913971,0.8613368272781372,0.6754795908927917,1.261743426322937,1.415964126586914,1.13491690158844,21.162633895874023,25.60135269165039,16.480100631713867,23.18231964111328,26.974092483520508,19.539995193481445
2037,0.7361031174659729,0.8106496930122375,0.6904215216636658,1.203961968421936,1.3050001859664917,1.1574324369430542,21.55960464477539,26.055866241455078,16.360872268676758,23.317922592163086,27.074995040893555,19.412824630737305
2038,0.7576937675476074,0.8210997581481934,0.7087390422821045,1.2381409406661987,1.3035832643508911,1.2006497383117676,21.21168327331543,25.89882469177246,16.07603645324707,23.135698318481445,26.892431259155273,19.412961959838867
2039,0.773216724395752,0.8471809029579163,0.7028168439865112,1.278815746307373,1.380298137664795,1.2182739973068237,21.052461624145508,25.763071060180664,15.950725555419922,23.173383712768555,27.156551361083984,19.601472854614258
2040,0.7496936917304993,0.8140004873275757,0.7034361362457275,1.2455739974975586,1.3486428260803223,1.2086654901504517,21.34037971496582,25.89377212524414,16.0949649810791,23.271015167236328,26.898439407348633,19.49989891052246
2041,0.7488791942596436,0.8068243861198425,0.682167649269104,1.250148057937622,1.306066632270813,1.1240781545639038,21.21208953857422,26.090347290039062,16.595462799072266,23.222597122192383,27.0432186126709,19.546720504760742
2042,0.7500242590904236,0.8276751637458801,0.6832888722419739,1.2245548963546753,1.3273504972457886,1.1294633150100708,21.3187313079834,25.764007568359375,16.349214553833008,23.215028762817383,26.981725692749023,19.35886001586914
2043,0.741420328617096,0.8442296385765076,0.6534188985824585,1.1988551616668701,1.3825955390930176,1.100020170211792,21.57052230834961,26.076330184936523,16.83095359802246,23.378019332885742,27.3310546875,19.815277099609375
2044,0.733860433101654,0.8196036219596863,0.6681581735610962,1.203169822692871,1.3232125043869019,1.0941805839538574,21.707721710205078,26.165679931640625,16.552005767822266,23.529638290405273,27.2907772064209,19.34148597717285
2045,0.7564003467559814,0.836215078830719,0.6909471154212952,1.2482573986053467,1.3680963516235352,1.2116793394088745,21.405216217041016,26.017593383789062,16.4813289642334,23.390703201293945,27.307031631469727,19.706260681152344
2046,0.7381798028945923,0.7838388085365295,0.6700712442398071,1.2225544452667236,1.2555588483810425,1.1094144582748413,21.538198471069336,26.055866241455078,16.247175216674805,23.372642517089844,26.841299057006836,19.589303970336914
2047,0.7521510124206543,0.8166008591651917,0.6530391573905945,1.2534304857254028,1.3421610593795776,1.1120352745056152,21.293386459350586,25.669836044311523,16.575759887695312,23.326391220092773,26.89183235168457,19.881139755249023
2048,0.7270993590354919,0.7983309030532837,0.6621283292770386,1.2036510705947876,1.3127743005752563,1.107322335243225,21.680280685424805,26.21268081665039,16.47236442565918,23.56052589416504,27.17955207824707,19.551441192626953
2049,0.7434960603713989,0.8191969990730286,0.6649603247642517,1.2371305227279663,1.3642597198486328,1.110478401184082,21.54081916809082,25.900598526000977,16.805185317993164,23.53277587890625,27.154216766357422,19.852310180664062
2050,0.7443759441375732,0.8188704252243042,0.6739210486412048,1.2322938442230225,1.373216986656189,1.0896245241165161,21.850860595703125,26.30421257019043,16.903657913208008,23.706064224243164,27.487398147583008,19.698532104492188
2051,0.7400047779083252,0.8290261030197144,0.6701018214225769,1.20361328125,1.3883076906204224,1.121405005455017,21.7923641204834,26.309104919433594,17.18513298034668,23.66655921936035,27.546161651611328,19.98556137084961
2052,0.7326399087905884,0.81098872423172,0.6580845713615417,1.1997475624084473,1.332104206085205,1.0346566438674927,21.86957359313965,26.291213989257812,17.051513671875,23.579835891723633,27.285858154296875,19.795509338378906
2053,0.7415431141853333,0.8275811076164246,0.6561740040779114,1.204239010810852,1.3692359924316406,1.0968505144119263,21.798593521118164,26.23790168762207,16.74888038635254,23.67681121826172,27.48610496520996,19.687305450439453
2054,0.7388067245483398,0.8313608765602112,0.6719812750816345,1.2137904167175293,1.3966127634048462,1.0964821577072144,21.942232131958008,26.500673294067383,16.918087005615234,23.71737289428711,27.695409774780273,19.772045135498047
2055,0.7569239139556885,0.8396608233451843,0.6978906989097595,1.2551262378692627,1.415270447731018,1.1978071928024292,21.690332412719727,26.080522537231445,16.828880310058594,23.717082977294922,27.540855407714844,19.972646713256836
2056,0.7480254769325256,0.8370344638824463,0.692477822303772,1.236152172088623,1.3595815896987915,1.1874825954437256,21.940412521362305,26.66905403137207,16.40560531616211,23.928991317749023,27.921693801879883,19.72888946533203
2057,0.7563169598579407,0.8327147960662842,0.6638712882995605,1.2663754224777222,1.3930937051773071,1.11024808883667,21.630430221557617,26.06671714782715,17.260557174682617,23.65947914123535,27.47795295715332,19.910348892211914
2058,0.7390522956848145,0.8183698058128357,0.659188449382782,1.2118984460830688,1.3360189199447632,1.1173135042190552,22.079378128051758,26.554174423217773,17.194881439208984,23.913494110107422,27.72578239440918,19.963706970214844
2059,0.7434458136558533,0.8328098654747009,0.6554213166236877,1.2488298416137695,1.4170445203781128,1.1099960803985596,22.270666122436523,26.8393611907959,17.42860221862793,24.19723892211914,28.257631301879883,20.33903694152832
2060,0.7294562458992004,0.8221145868301392,0.6451189517974854,1.210584282875061,1.3715118169784546,1.0573209524154663,22.277400970458984,26.905012130737305,17.036455154418945,24.086231231689453,28.075702667236328,19.879770278930664
2061,0.7403733730316162,0.8291814923286438,0.6690159440040588,1.2081284523010254,1.3601351976394653,1.1199415922164917,22.034330368041992,26.643922805786133,17.188446044921875,23.88370704650879,27.920394897460938,19.946516036987305
2062,0.7496338486671448,0.8400934934616089,0.6627334356307983,1.242087721824646,1.4076769351959229,1.1615755558013916,22.348541259765625,26.86271858215332,17.643218994140625,24.2924861907959,28.34674835205078,20.64855194091797
2063,0.7223172187805176,0.8003706932067871,0.6357700824737549,1.2112892866134644,1.3178106546401978,1.0194308757781982,22.50094223022461,27.072641372680664,16.988862991333008,24.226844787597656,28.003164291381836,19.70747947692871
2064,0.7320778965950012,0.8179944753646851,0.6735734939575195,1.172871708869934,1.3215086460113525,1.0937541723251343,21.92067527770996,26.497730255126953,17.159372329711914,23.73680877685547,27.73683738708496,19.93413543701172
2065,0.7431234121322632,0.8391150832176208,0.641928493976593,1.2068121433258057,1.4071292877197266,1.0613034963607788,22.190898895263672,26.608579635620117,17.409120559692383,24.107418060302734,28.096267700195312,20.246919631958008
2066,0.7143588066101074,0.8065189123153687,0.6449282169342041,1.1901732683181763,1.3355858325958252,1.0954114198684692,22.446931838989258,27.061500549316406,17.017292022705078,24.21367645263672,28.06405258178711,19.961061477661133
2067,0.7355563640594482,0.810471773147583,0.6773220300674438,1.2267394065856934,1.3365516662597656,1.141435980796814,21.91718292236328,26.485830307006836,16.872480392456055,23.8518009185791,27.692081451416016,20.080883026123047
2068,0.7384945154190063,0.8282092213630676,0.6599946022033691,1.2308903932571411,1.4091346263885498,1.1277825832366943,22.308395385742188,26.949766159057617,17.372350692749023,24.342384338378906,28.429723739624023,20.524606704711914
2069,0.7501000761985779,0.8372533917427063,0.6788274049758911,1.2607630491256714,1.4122599363327026,1.1509130001068115,22.464431762695312,27.15536117553711,17.424047470092773,24.501482009887695,28.472414016723633,20.376794815063477
2070,0.7458236813545227,0.8418357968330383,0.6523227095603943,1.2443103790283203,1.4160821437835693,1.0933490991592407,22.40284538269043,27.00576400756836,17.184301376342773,24.308666229248047,28.36941909790039,20.152088165283203
2071,0.7446430921554565,0.8462660908699036,0.6388203501701355,1.2468010187149048,1.4468817710876465,1.0744820833206177,22.540441513061523,27.493045806884766,17.818708419799805,24.476797103881836,28.844472885131836,20.560516357421875
2072,0.7236526012420654,0.8289337158203125,0.644355297088623,1.201265573501587,1.4113670587539673,1.0670405626296997,22.73240089416504,27.471538543701172,17.62616729736328,24.533052444458008,28.697452545166016,20.296279907226562
2073,0.7412391304969788,0.8558520674705505,0.6532509922981262,1.2249733209609985,1.437018871307373,1.1099029779434204,22.436397552490234,27.061508178710938,17.5117130279541,24.35372543334961,28.567739486694336,20.29717254638672
