time,Arr_TBUILD_0_C,Arr_TBUILD_0_JJA_C,Arr_TBUILD_0_DJF_C,Arr_TBUILD_1_C,Arr_TBUILD_1_JJA_C,Arr_TBUILD_1_DJF_C,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_0,Arr_HIA_U_0_JJA,Arr_HIA_U_0_DJF,Arr_HIA_U_1,Arr_HIA_U_1_JJA,Arr_HIA_U_1_DJF,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_0,Arr_APPAR_TEMP_U_0_JJA,Arr_APPAR_TEMP_U_0_DJF,Arr_APPAR_TEMP_U_1,Arr_APPAR_TEMP_U_1_JJA,Arr_APPAR_TEMP_U_1_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_0,Arr_SWBGT_U_0_JJA,Arr_SWBGT_U_0_DJF,Arr_SWBGT_U_1,Arr_SWBGT_U_1_JJA,Arr_SWBGT_U_1_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_0,Arr_HUMIDEX_U_0_JJA,Arr_HUMIDEX_U_0_DJF,Arr_HUMIDEX_U_1,Arr_HUMIDEX_U_1_JJA,Arr_HUMIDEX_U_1_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_0_,Arr_DISCOIS_U_0_JJA,Arr_DISCOIS_U_0_DJF,Arr_DISCOIS_U_1,Arr_DISCOIS_U_1_JJA,Arr_DISCOIS_U_1_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF,Arr_DISCOIS_U_0
2015,22.775598144531273,26.415734863281273,19.198449707031273,20.980462646484398,24.380609130859398,17.808038330078148,22.749291992187523,26.385491943359398,19.178826904296898,20.221729278564453,26.055036544799805,13.593987464904785,19.68333625793457,25.489124298095703,13.120759010314941,20.21503257751465,26.047809600830078,13.588345527648926,18.332706451416016,24.89857292175293,11.017753601074219,17.96082305908203,24.507659912109375,10.699156761169434,18.327878952026367,24.893341064453125,11.0137939453125,20.867650985717773,25.298826217651367,16.10369110107422,20.606966018676758,25.02190399169922,15.881521224975586,20.864301681518555,25.295181274414062,16.100934982299805,22.2200870513916,29.55236053466797,14.240946769714355,21.75204086303711,29.056900024414062,13.838221549987793,22.214120864868164,29.545886993408203,14.236000061035156,16.746545791625977,21.698678970336914,11.109537124633789,16.41248321533203,21.353893280029297,10.812819480895996,16.742332458496094,21.694225311279297,11.105923652648926,16.746545791625977
2016,22.950769042968773,26.670037841796898,19.180810546875023,21.153375244140648,24.596978759765648,17.850000000000023,22.924554443359398,26.639306640625023,19.161950683593773,20.457433700561523,26.270782470703125,13.735027313232422,19.91105842590332,25.690839767456055,13.267481803894043,20.450664520263672,26.263410568237305,13.729391098022461,18.624835968017578,25.108970642089844,11.159785270690918,18.255420684814453,24.710411071777344,10.853902816772461,18.620033264160156,25.103652954101562,11.155933380126953,21.08403778076172,25.415245056152344,16.24713706970215,20.82602310180664,25.13524627685547,16.033109664916992,21.080720901489258,25.41156768798828,16.24445152282715,22.564590454101562,29.760719299316406,14.455326080322266,22.099103927612305,29.257410049438477,14.067352294921875,22.558650970458984,29.75416374206543,14.450504302978516,16.95547866821289,21.841257095336914,11.215485572814941,16.621807098388672,21.488971710205078,10.928762435913086,16.951271057128906,21.83673095703125,11.211955070495605,16.95547866821289
2017,22.847833251953148,26.432061767578148,19.097833251953148,21.058526611328148,24.413812255859398,17.734429931640648,22.821710205078148,26.401971435546898,19.078576660156273,20.347482681274414,26.300344467163086,13.339924812316895,19.796422958374023,25.72339630126953,12.8523530960083,20.340656280517578,26.29295539855957,13.334199905395508,18.400259017944336,25.055011749267578,10.581514358520508,18.02983283996582,24.666400909423828,10.255072593688965,18.395450592041016,25.0498046875,10.577503204345703,20.94814682006836,25.45341682434082,15.813538551330566,20.690528869628906,25.17867088317871,15.586515426635742,20.944833755493164,25.449792861938477,15.810754776000977,22.33127784729004,29.78084945678711,13.778623580932617,21.866193771362305,29.288042068481445,13.367350578308105,22.325347900390625,29.774404525756836,13.773619651794434,16.75908088684082,21.783536911010742,10.796996116638184,16.424528121948242,21.43939781188965,10.491280555725098,16.75486183166504,21.779085159301758,10.793316841125488,16.75908088684082
2018,22.564477539062523,26.031610107421898,19.004327392578148,20.764398193359398,24.030297851562523,17.606774902343773,22.538171386718773,26.001885986328148,18.984765625000023,19.897886276245117,25.667797088623047,13.33401107788086,19.343942642211914,25.090618133544922,12.851930618286133,19.891067504882812,25.66046142578125,13.32833480834961,17.94831657409668,24.456689834594727,10.588932037353516,17.57225799560547,24.0687198638916,10.263866424560547,17.943456649780273,24.451492309570312,10.584933280944824,20.600831985473633,25.015464782714844,15.831619262695312,20.339603424072266,24.740882873535156,15.606568336486816,20.597482681274414,25.011844635009766,15.828841209411621,21.782228469848633,29.071775436401367,13.805862426757812,21.31072998046875,28.579143524169922,13.397270202636719,21.776233673095703,29.065332412719727,13.800867080688477,16.455448150634766,21.363656997680664,10.82023811340332,16.11583709716797,21.019105911254883,10.517732620239258,16.451189041137695,21.359209060668945,10.816583633422852,16.455448150634766
2019,22.764276123046898,26.369805908203148,19.365655517578148,20.952752685546898,24.323693847656273,17.981530761718773,22.737908935546898,26.339501953125023,19.282617187500023,20.064184188842773,25.929880142211914,13.596403121948242,19.513065338134766,25.353097915649414,13.11874771118164,20.057388305664062,25.922548294067383,13.57235050201416,18.17353630065918,24.719762802124023,11.009956359863281,17.798799514770508,24.325605392456055,10.694214820861816,18.168697357177734,24.714500427246094,10.993309020996094,20.766698837280273,25.188047409057617,16.139724731445312,20.506309509277344,24.910587310791016,15.920074462890625,20.763364791870117,25.18439292907715,16.128040313720703,22.052650451660156,29.376808166503906,14.286413192749023,21.582517623901367,28.878582000732422,13.887975692749023,22.046682357788086,29.370311737060547,14.265514373779297,16.6267032623291,21.59205436706543,11.084468841552734,16.288793563842773,21.24330711364746,10.790996551513672,16.622467041015625,21.587562561035156,11.069323539733887,16.6267032623291
2020,22.922753906250023,26.380120849609398,19.057702636718773,21.148461914062523,24.396875000000023,17.695642089843773,22.767877197265648,26.202691650390648,18.942224121093773,20.309263229370117,26.14643096923828,13.313222885131836,19.760656356811523,25.57227325439453,12.824164390563965,20.26841926574707,26.10209846496582,13.278342247009277,18.392349243164062,24.93634605407715,10.593076705932617,18.02144432067871,24.5467529296875,10.268467903137207,18.36351203918457,24.904966354370117,10.568880081176758,20.96561622619629,25.360332489013672,15.863673210144043,20.70796012878418,25.08487892150879,15.639578819274902,20.945661544799805,25.338422775268555,15.846902847290039,22.35578727722168,29.635282516479492,13.842461585998535,21.89080238342285,29.14143180847168,13.435362815856934,22.320131301879883,29.59632110595703,13.812271118164062,16.76018524169922,21.698095321655273,10.813226699829102,16.426733016967773,21.3540096282959,10.510242462158203,16.734935760498047,21.6712703704834,10.790964126586914,16.76018524169922
2021,22.658563232421898,26.374108886718773,19.003961181640648,20.890924072265648,24.344659423828148,17.647637939453148,22.503350830078148,26.192620849609398,18.888635253906273,19.997098922729492,25.868520736694336,12.908661842346191,19.449792861938477,25.293689727783203,12.442230224609375,19.956035614013672,25.824077606201172,12.874994277954102,18.120702743530273,24.799226760864258,10.086615562438965,17.749685287475586,24.404783248901367,9.771955490112305,18.091629028320312,24.767427444458008,10.062949180603027,20.753856658935547,25.213712692260742,15.52255630493164,20.494924545288086,24.935640335083008,15.302931785583496,20.73373031616211,25.191587448120117,15.506123542785645,22.01851463317871,29.416154861450195,13.289010047912598,21.551422119140625,28.917211532592773,12.891112327575684,21.982511520385742,29.376758575439453,13.259486198425293,16.586477279663086,21.611188888549805,10.413130760192871,16.250560760498047,21.26270866394043,10.11846923828125,16.560861587524414,21.583984375,10.391494750976562,16.586477279663086
2022,22.674615478515648,26.356896972656273,19.017999267578148,20.876031494140648,24.316766357421898,17.633477783203148,22.516229248046898,26.173913574218773,18.901177978515648,19.83222198486328,25.89064598083496,13.017213821411133,19.286405563354492,25.313295364379883,12.537246704101562,19.791269302368164,25.84612274169922,12.98290729522705,17.92491340637207,24.77033042907715,10.266462326049805,17.553794860839844,24.375938415527344,9.942976951599121,17.895763397216797,24.738510131835938,10.242341995239258,20.59555435180664,25.187559127807617,15.592427253723145,20.337053298950195,24.90909194946289,15.366633415222168,20.575420379638672,25.1654109954834,15.575602531433105,21.768354415893555,29.37942886352539,13.407585144042969,21.30193328857422,28.879865646362305,12.9987154006958,21.732322692871094,29.33999252319336,13.37738037109375,16.419174194335938,21.594329833984375,10.5166015625,16.083948135375977,21.245052337646484,10.213820457458496,16.39354705810547,21.56705665588379,10.494396209716797,16.419174194335938
2023,22.665979003906273,26.226556396484398,19.365441894531273,20.872705078125023,24.172631835937523,18.015161132812523,22.508721923828148,26.042749023437523,19.250573730468773,19.919527053833008,25.823486328125,13.708809852600098,19.367958068847656,25.238740921020508,13.246081352233887,19.878185272216797,25.778430938720703,13.675003051757812,17.979413986206055,24.574098587036133,11.077082633972168,17.606822967529297,24.17661476135254,10.772772789001465,17.95018196105957,24.542034149169922,11.053811073303223,20.633371353149414,25.057811737060547,16.208683013916016,20.373897552490234,24.77821159362793,15.995148658752441,20.613168716430664,25.035560607910156,16.19246482849121,21.82872772216797,29.169517517089844,14.39848518371582,21.36035919189453,28.667022705078125,14.012043952941895,21.792591094970703,29.129858016967773,14.36938190460205,16.45952033996582,21.466644287109375,11.166451454162598,16.122577667236328,21.11427879333496,10.882513046264648,16.433799743652344,21.439149856567383,11.14525032043457,16.45952033996582
2024,22.946527099609398,26.544519042968773,19.195001220703148,21.150048828125023,24.468469238281273,17.839318847656273,22.788659667968773,26.358575439453148,19.016198730468773,20.359722137451172,26.276823043823242,13.877326011657715,19.813732147216797,25.69281005859375,13.401966094970703,20.31858253479004,26.231843948364258,13.823711395263672,18.46735191345215,25.0661678314209,11.13187026977539,18.101232528686523,24.6716251373291,10.814275741577148,18.438535690307617,25.034366607666016,11.094538688659668,21.019920349121094,25.44024085998535,16.240293502807617,20.76451873779297,25.163301467895508,16.017770767211914,20.999984741210938,25.418190002441406,16.21415138244629,22.441085815429688,29.76619529724121,14.477130889892578,21.979904174804688,29.26752471923828,14.074198722839355,22.405406951904297,29.726825714111328,14.43030071258545,16.826547622680664,21.794065475463867,11.277026176452637,16.495269775390625,21.44392204284668,10.978288650512695,16.801198959350586,21.766761779785156,11.242753982543945,16.826547622680664
