time,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF
2015,22.709039306640648,26.337060546875023,19.154168701171898,20.176738739013672,26.007810592651367,13.57199478149414,18.31400489807129,24.878646850585938,11.006239891052246,20.859956741333008,25.28936195373535,16.096921920776367,22.200927734375,29.530353546142578,14.227327346801758,16.72833824157715,21.678491592407227,11.09904670715332
2016,22.879449462890648,26.581384277343773,19.121911621093773,20.43105697631836,26.241418838500977,13.71371078491211,18.609912872314453,25.092119216918945,11.146937370300293,21.074892044067383,25.40487289428711,16.238784790039062,22.546846389770508,29.74072265625,14.439652442932129,16.941967010498047,21.82605743408203,11.20368766784668
2017,22.754235839843773,26.320336914062523,19.019494628906273,20.320026397705078,26.27028465270996,13.315546035766602,18.38239097595215,25.035234451293945,10.564993858337402,20.936349868774414,25.440166473388672,15.802266120910645,22.309579849243164,29.756702423095703,13.758155822753906,16.743202209472656,21.766305923461914,10.78179931640625
2018,22.445184326171898,25.892358398437523,18.904809570312523,19.865549087524414,25.631717681884766,13.304309844970703,17.925914764404297,24.4320125579834,10.56832504272461,20.585655212402344,24.998565673828125,15.81748104095459,21.754762649536133,29.041364669799805,13.780259132385254,16.435678482055664,21.342334747314453,10.801370620727539
2019,22.618737792968773,26.198510742187523,19.247857666015648,20.025943756103516,25.88766860961914,13.562023162841797,18.146574020385742,24.68981170654297,10.986332893371582,20.74821662902832,25.16737937927246,16.12335968017578,22.019447326660156,29.339859008789062,14.25695514678955,16.603023529052734,21.566373825073242,11.06299877166748
2020,22.754327392578148,26.184075927734398,18.922204589843773,20.26456069946289,26.09722328186035,13.272369384765625,18.36094093322754,24.901599884033203,10.564779281616211,20.94399642944336,25.33616065979004,15.844124794006348,22.317035675048828,29.592205047607422,13.80722427368164,16.732662200927734,21.668352127075195,10.787195205688477
2021,22.464471435546898,26.143334960937523,18.849298095703148,19.945714950561523,25.811925888061523,12.863581657409668,18.0843505859375,24.75874900817871,10.05494213104248,20.728748321533203,25.185604095458984,15.500616073608398,21.97354507446289,29.366052627563477,13.249543190002441,16.554431915283203,21.576515197753906,10.38414478302002
2022,22.450158691406273,26.093591308593773,18.841760253906273,19.774057388305664,25.826406478881836,12.965408325195312,17.88355255126953,24.724468231201172,10.23006534576416,20.567012786865234,25.155670166015625,15.567063331604004,21.71724510192871,29.322595596313477,13.362021446228027,16.382766723632812,21.554946899414062,10.483078002929688
2023,22.416619873046898,25.931298828125023,19.172967529296898,19.85374641418457,25.750810623168945,13.651861190795898,17.93297004699707,24.52244758605957,11.037960052490234,20.601285934448242,25.021968841552734,16.181432723999023,21.771278381347656,29.105573654174805,14.3495512008667,16.418603897094727,21.422256469726562,11.1307373046875
2024,22.669671630859398,26.214196777343773,18.982659912109398,20.287015914916992,26.19635772705078,13.813275337219238,18.416576385498047,25.00944709777832,11.087486267089844,20.98479652404785,25.400907516479492,16.209304809570312,22.37816047668457,29.695898056030273,14.421496391296387,16.781768798828125,21.74521255493164,11.236235618591309
